sample	group	pc1_0.490934671745	pc2_0.165542897875	pc3_0.0932822975657	pc4_0.0747526838705	pc5_0.0526352309048	pc6_0.0422533315408	pc7_0.0353029898676	pc8_0.0161929147737	pc9_0.0137261731821	pc10_0.00909810061773	pc11_0.0062787080573	pc12_0
13DAG.SM	HFD	-0.147298361	-0.041308088	-0.064924812	0.104778212	-0.024080736	0.060513418	-0.071791751	-0.009645021	0.009215961	0.006980008	0.003666186	0
39DAG.SM	HFD	-0.15184911	-0.012252143	-0.045728785	-0.062526044	0.133908332	0.033369217	0.016969174	0.002671585	0.002234321	0.009375527	0.0029849	0
59DAG.SM	HFD	-0.145377397	-0.142075249	0.13839482	-0.066552405	-0.044003304	0.013741215	-0.00971968	0.003181756	-0.010210421	0.015709967	0.002269274	0
7DAG.SM	HFD	-0.136383887	0.074360328	0.09059347	0.070386029	0.046729326	-0.089080229	-0.026474396	0.002457772	0.007563319	-0.016638765	-5.69E-05	0
2SM.DN	ND	0.169053904	0.093702195	-0.00643554	0.013181016	-0.006394093	-0.030153919	-0.00258661	0.004674735	-0.01012306	0.056039953	0.010967823	0
26DAG.SM	HFD	-0.144690545	-0.074285208	-0.071140867	0.055390011	-0.041933281	-0.034697798	0.097023567	0.011554991	-0.002922481	-0.000268549	0.002450333	0
27DAG.SM	HFD	-0.175500737	0.184357381	-0.040214733	-0.090945998	-0.067099822	0.008240679	-0.006999319	-0.003740533	0.000836279	-0.010121506	-0.009005749	0
48SM.DN	ND	0.129148752	-0.046918785	-0.048007548	-0.011571875	0.007624261	-0.018210051	-0.030942102	0.008108487	-0.068976004	-0.019958238	-0.005800943	0
8SM.DN	ND	0.141925595	0.092009548	0.090767013	0.056747959	0.00737695	0.087794809	0.048526589	0.007769392	-0.008181716	-0.015564076	0.002099263	0
51SM.DN	ND	0.142673079	-0.04624966	-0.000813579	0.00029811	0.006606114	-0.00910658	0.009039811	-0.044360282	0.020245787	0.004654182	-0.043138894	0
33SM.DN	ND	0.171712027	-0.046539525	-0.025193033	-0.03072462	-0.009060981	-0.006827157	-0.022969219	0.065555477	0.040524585	-0.010820834	-0.00313858	0
50SM.DN	ND	0.14658668	-0.034800792	-0.017296408	-0.038460394	-0.009672766	-0.015583606	-7.61E-05	-0.048228358	0.01979343	-0.019387669	0.036703332	0
