	13DAG.SM	39DAG.SM	59DAG.SM	7DAG.SM	2SM.DN	26DAG.SM	27DAG.SM	48SM.DN	8SM.DN	51SM.DN	33SM.DN	50SM.DN
13DAG.SM	0.0	0.126056983474	0.22961655263	0.115957179155	0.286728803536	0.124585145301	0.164982208037	0.195675819986	0.393358946909	0.282563233388	0.34697241772	0.239722790161
39DAG.SM	0.126056983474	0.0	0.285279151735	0.181419810394	0.29104200796	0.190404571477	0.189351362338	0.232679183264	0.415403716975	0.323032314979	0.371137094262	0.272879317752
59DAG.SM	0.22961655263	0.285279151735	0.0	0.190172567895	0.365540220885	0.190932227316	0.247681121043	0.255045082673	0.361942393326	0.262186936026	0.315694609687	0.237079694197
7DAG.SM	0.115957179155	0.181419810394	0.190172567895	0.0	0.294277528256	0.110830133224	0.155111727868	0.208041089696	0.398883114644	0.263154657018	0.361249092055	0.211077652225
2SM.DN	0.286728803536	0.29104200796	0.365540220885	0.294277528256	0.0	0.324786027164	0.340150784768	0.199842977669	0.252411024176	0.282100569408	0.155516345015	0.270569124489
26DAG.SM	0.124585145301	0.190404571477	0.190932227316	0.110830133224	0.324786027164	0.0	0.123145841985	0.227632205707	0.421495382707	0.252590454285	0.395164162442	0.207982674199
27DAG.SM	0.164982208037	0.189351362338	0.247681121043	0.155111727868	0.340150784768	0.123145841985	0.0	0.254007378158	0.44730624742	0.32162304333	0.410920833431	0.283912258738
48SM.DN	0.195675819986	0.232679183264	0.255045082673	0.208041089696	0.199842977669	0.227632205707	0.254007378158	0.0	0.30537193604	0.17216366148	0.2377812639	0.132422796734
8SM.DN	0.393358946909	0.415403716975	0.361942393326	0.398883114644	0.252411024176	0.421495382707	0.44730624742	0.30537193604	0.0	0.326959327237	0.202589635907	0.346632787974
51SM.DN	0.282563233388	0.323032314979	0.262186936026	0.263154657018	0.282100569408	0.252590454285	0.32162304333	0.17216366148	0.326959327237	0.0	0.27208291264	0.120260650925
33SM.DN	0.34697241772	0.371137094262	0.315694609687	0.361249092055	0.155516345015	0.395164162442	0.410920833431	0.2377812639	0.202589635907	0.27208291264	0.0	0.298887199631
50SM.DN	0.239722790161	0.272879317752	0.237079694197	0.211077652225	0.270569124489	0.207982674199	0.283912258738	0.132422796734	0.346632787974	0.120260650925	0.298887199631	0.0
