	7DAG.SM	7DAG.AE	59DAG.SM	39DAG.SM	39DAG.AE	34DAG.AE	27DAG.SM	27DAG.AE	26DAG.SM	20DAG.AE	13DAG.SM	10DAG.AE
7DAG.SM	0	0.172792093	0.187501582	0.200999232	0.189105618	0.194807049	0.185473218	0.236725167	0.181125786	0.225378162	0.141174236	0.232370933
7DAG.AE	0.172792093	0	0.185396515	0.180878224	0.174864892	0.172303614	0.205698107	0.174878389	0.206465197	0.202918606	0.171799352	0.210175356
59DAG.SM	0.187501582	0.185396515	0	0.202342728	0.21069462	0.180995979	0.236545455	0.197015716	0.188330982	0.217403475	0.173465221	0.237036168
39DAG.SM	0.200999232	0.180878224	0.202342728	0	0.167465188	0.197953243	0.205623322	0.165468552	0.202529127	0.1618275	0.193050326	0.20939413
39DAG.AE	0.189105618	0.174864892	0.21069462	0.167465188	0	0.175770771	0.197650496	0.171041695	0.183868844	0.17163106	0.185947531	0.187240361
34DAG.AE	0.194807049	0.172303614	0.180995979	0.197953243	0.175770771	0	0.202165954	0.184741	0.198024475	0.197411409	0.154271511	0.201948289
27DAG.SM	0.185473218	0.205698107	0.236545455	0.205623322	0.197650496	0.202165954	0	0.194337501	0.1656052	0.196800901	0.149730919	0.246523542
27DAG.AE	0.236725167	0.174878389	0.197015716	0.165468552	0.171041695	0.184741	0.194337501	0	0.227228223	0.177218501	0.197134148	0.216979142
26DAG.SM	0.181125786	0.206465197	0.188330982	0.202529127	0.183868844	0.198024475	0.1656052	0.227228223	0	0.183508781	0.138129987	0.207746978
20DAG.AE	0.225378162	0.202918606	0.217403475	0.1618275	0.17163106	0.197411409	0.196800901	0.177218501	0.183508781	0	0.206431396	0.17635735
13DAG.SM	0.141174236	0.171799352	0.173465221	0.193050326	0.185947531	0.154271511	0.149730919	0.197134148	0.138129987	0.206431396	0	0.212946131
10DAG.AE	0.232370933	0.210175356	0.237036168	0.20939413	0.187240361	0.201948289	0.246523542	0.216979142	0.207746978	0.17635735	0.212946131	0
