	13DAG.SM	20DAG.AE	34DAG.AE	39DAG.AE	39DAG.SM	59DAG.SM	7DAG.AE	7DAG.SM	27DAG.AE	26DAG.SM	27DAG.SM	10DAG.AE
13DAG.SM	0.0	0.1606960451869225	0.21739479537719036	0.23529403356628337	0.12191358479094055	0.231180350020181	0.20867055407694263	0.11561146370813022	0.2770726504860185	0.12786013735508264	0.16505777647133568	0.18158870370013186
20DAG.AE	0.1606960451869225	0.0	0.20785343615807816	0.23680149516676188	0.15809347280039165	0.23099774681996305	0.1839960501001825	0.1402197122115972	0.2427091834576327	0.09801128456795169	0.11752143368026755	0.19387532992398923
34DAG.AE	0.21739479537719036	0.20785343615807816	0.0	0.22370759153218192	0.2086675769412739	0.18498913245583476	0.22858929604739545	0.17929635624394757	0.2755184215127835	0.22630985662362646	0.21052267578465078	0.2554828752488651
39DAG.AE	0.23529403356628337	0.23680149516676188	0.22370759153218192	0.0	0.2515265694118709	0.2531869532921588	0.22743029156852107	0.177336160824762	0.23605330944527397	0.2376732167995324	0.27260213911157355	0.3161453232007875
39DAG.SM	0.12191358479094055	0.15809347280039165	0.2086675769412739	0.2515265694118709	0.0	0.28412297590033503	0.23555776702927778	0.18084945176235961	0.29822233798868236	0.18824639435606647	0.1898693945279435	0.16640689889188687
59DAG.SM	0.231180350020181	0.23099774681996305	0.18498913245583476	0.2531869532921588	0.28412297590033503	0.0	0.2096471083295077	0.19159081661187613	0.22793896740332217	0.19091458182667637	0.24665391755244231	0.3077287952277202
7DAG.AE	0.20867055407694263	0.1839960501001825	0.22858929604739545	0.22743029156852107	0.23555776702927778	0.2096471083295077	0.0	0.15242916341109078	0.17953795112429527	0.18050209920889138	0.22407171341569665	0.26831001235390206
7DAG.SM	0.11561146370813022	0.1402197122115972	0.17929635624394757	0.177336160824762	0.18084945176235961	0.19159081661187613	0.15242916341109078	0.0	0.22236188179511523	0.11054113099473004	0.15374563840405456	0.21899503667756065
27DAG.AE	0.2770726504860185	0.2427091834576327	0.2755184215127835	0.23605330944527397	0.29822233798868236	0.22793896740332217	0.17953795112429527	0.22236188179511523	0.0	0.23647130716019876	0.29463519887119155	0.3597522231376811
26DAG.SM	0.12786013735508264	0.09801128456795169	0.22630985662362646	0.2376732167995324	0.18824639435606647	0.19091458182667637	0.18050209920889138	0.11054113099473004	0.23647130716019876	0.0	0.12497367127939572	0.22468294073255776
27DAG.SM	0.16505777647133568	0.11752143368026755	0.21052267578465078	0.27260213911157355	0.1898693945279435	0.24665391755244231	0.22407171341569665	0.15374563840405456	0.29463519887119155	0.12497367127939572	0.0	0.20625909508920842
10DAG.AE	0.18158870370013186	0.19387532992398923	0.2554828752488651	0.3161453232007875	0.16640689889188687	0.3077287952277202	0.26831001235390206	0.21899503667756065	0.3597522231376811	0.22468294073255776	0.20625909508920842	0.0
