	7DAG.SM	59DAG.SM	59DAG.AN	54DAG.AN	49DAG.AN	46DAG.AN	3DAG.AN	39DAG.SM	27DAG.SM	26DAG.SM	26DAG.AN	13DAG.SM
7DAG.SM	0	0.187501582	0.203045638	0.199467872	0.239235332	0.217364596	0.198303564	0.200999232	0.185473218	0.181125786	0.188542243	0.141174236
59DAG.SM	0.187501582	0	0.176492308	0.159579127	0.185954482	0.159212006	0.158649769	0.202342728	0.236545455	0.188330982	0.12597769	0.173465221
59DAG.AN	0.203045638	0.176492308	0	0.167273494	0.187606091	0.172593488	0.155058376	0.206944528	0.243986783	0.215332021	0.151429029	0.190585424
54DAG.AN	0.199467872	0.159579127	0.167273494	0	0.201981789	0.185130877	0.168546937	0.21152441	0.21032384	0.193123411	0.132984266	0.182953314
49DAG.AN	0.239235332	0.185954482	0.187606091	0.201981789	0	0.147687388	0.161562893	0.241508947	0.25029516	0.220533105	0.159576221	0.23652805
46DAG.AN	0.217364596	0.159212006	0.172593488	0.185130877	0.147687388	0	0.137020031	0.211288264	0.227885246	0.196417281	0.131919152	0.193887568
3DAG.AN	0.198303564	0.158649769	0.155058376	0.168546937	0.161562893	0.137020031	0	0.164441837	0.197542342	0.176644595	0.129821053	0.177170006
39DAG.SM	0.200999232	0.202342728	0.206944528	0.21152441	0.241508947	0.211288264	0.164441837	0	0.205623322	0.202529127	0.19976279	0.193050326
27DAG.SM	0.185473218	0.236545455	0.243986783	0.21032384	0.25029516	0.227885246	0.197542342	0.205623322	0	0.1656052	0.201543902	0.149730919
26DAG.SM	0.181125786	0.188330982	0.215332021	0.193123411	0.220533105	0.196417281	0.176644595	0.202529127	0.1656052	0	0.161515879	0.138129987
26DAG.AN	0.188542243	0.12597769	0.151429029	0.132984266	0.159576221	0.131919152	0.129821053	0.19976279	0.201543902	0.161515879	0	0.169517359
13DAG.SM	0.141174236	0.173465221	0.190585424	0.182953314	0.23652805	0.193887568	0.177170006	0.193050326	0.149730919	0.138129987	0.169517359	0
