	13DAG.SM	26DAG.AN	39DAG.SM	49DAG.AN	59DAG.SM	46DAG.AN	7DAG.SM	26DAG.SM	27DAG.SM	3DAG.AN	54DAG.AN	59DAG.AN
13DAG.SM	0.0	0.19278283495991952	0.12191358479094055	0.2379157137374246	0.231180350020181	0.2631578988839559	0.11561146370813022	0.12786013735508264	0.16505777647133568	0.18847669837374761	0.1482477391585521	0.26131998672926826
26DAG.AN	0.19278283495991952	0.0	0.20627798963047292	0.13992373966303812	0.16299504174389826	0.1898209685439403	0.20466534220558247	0.21386580495984256	0.24886916296639744	0.16338379308161666	0.18247541848771778	0.23325126241928246
39DAG.SM	0.12191358479094055	0.20627798963047292	0.0	0.2615429092037329	0.28412297590033503	0.27832118819684376	0.18084945176235961	0.18824639435606647	0.1898693945279435	0.19085185169870447	0.13085337607680353	0.27391608742173856
49DAG.AN	0.2379157137374246	0.13992373966303812	0.2615429092037329	0.0	0.21356988272147276	0.1310164028465931	0.25639768095919335	0.2774777139168983	0.30199458272225527	0.21393947170784083	0.24870549967855266	0.25384426387999837
59DAG.SM	0.231180350020181	0.16299504174389826	0.28412297590033503	0.21356988272147276	0.0	0.19275252777436536	0.19159081661187613	0.19091458182667637	0.24665391755244231	0.18192266073793464	0.21269440781164287	0.22774924328516716
46DAG.AN	0.2631578988839559	0.1898209685439403	0.27832118819684376	0.1310164028465931	0.19275252777436536	0.0	0.2731638333812587	0.31445166455117113	0.32939715196085106	0.2550921716706495	0.2611846635640751	0.15132874453352624
7DAG.SM	0.11561146370813022	0.20466534220558247	0.18084945176235961	0.25639768095919335	0.19159081661187613	0.2731638333812587	0.0	0.11054113099473004	0.15374563840405456	0.154540345002522	0.09927823139870301	0.25853585772159865
26DAG.SM	0.12786013735508264	0.21386580495984256	0.18824639435606647	0.2774777139168983	0.19091458182667637	0.31445166455117113	0.11054113099473004	0.0	0.12497367127939572	0.16534618361864556	0.12745280215842852	0.32412532124137217
27DAG.SM	0.16505777647133568	0.24886916296639744	0.1898693945279435	0.30199458272225527	0.24665391755244231	0.32939715196085106	0.15374563840405456	0.12497367127939572	0.0	0.160814838443807	0.1528861575897636	0.3410878717253829
3DAG.AN	0.18847669837374761	0.16338379308161666	0.19085185169870447	0.21393947170784083	0.18192266073793464	0.2550921716706495	0.154540345002522	0.16534618361864556	0.160814838443807	0.0	0.13013314738710807	0.2684915495467265
54DAG.AN	0.1482477391585521	0.18247541848771778	0.13085337607680353	0.24870549967855266	0.21269440781164287	0.2611846635640751	0.09927823139870301	0.12745280215842852	0.1528861575897636	0.13013314738710807	0.0	0.25247131846859805
59DAG.AN	0.26131998672926826	0.23325126241928246	0.27391608742173856	0.25384426387999837	0.22774924328516716	0.15132874453352624	0.25853585772159865	0.32412532124137217	0.3410878717253829	0.2684915495467265	0.25247131846859805	0.0
