SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	Actinobaculum	Varibaculum	Brevibacterium	Nocardia	Adlercreutzia	5-7N15	Bacteroides	Candidatus Azobacteroides	Paludibacter	Parabacteroides	Prevotella	AF12	Blvii28	PW3	Rikenella	Butyricimonas	Odoribacter	CF231	Paraprevotella	Prevotella	Fluviicola	Flavobacterium	Psychroflexus	Caldilinea	Mucispirillum	Cohnella	Staphylococcus	Enterococcus	Lactobacillus	Lactococcus	Turicibacter	Alkaliphilus	Candidatus Arthromitus	Clostridiisalibacter	Clostridium	SMB53	Dehalobacterium	Pseudoramibacter_Eubacterium	Lutispora	Anaerostipes	Blautia	Butyrivibrio	Coprococcus	Dorea	Lachnobacterium	Moryella	Roseburia	Syntrophococcus	Ruminococcus	Oscillospira	Ruminococcus	Syntrophomonas	Fusibacter	Mogibacterium	Tepidimicrobium	WAL_1855D	Allobaculum	Coprobacillus	Sutterella	Bilophila	Desulfovibrio	Sulfurimonas	Haemophilus	Anaeroplasma	Akkermansia
2i	Inicial	Normal	Normal	0	Inicial	0.000125011	7.14E-05	0.00014287	3.57E-05	0.001946602	0	0.030252701	0.000214305	0.000446468	0.000750067	0.024109295	0	0.000607197	3.57E-05	3.57E-05	0.000107152	0.027466738	0.000535762	0.001785874	0	8.93E-05	0.006161264	0.000125011	8.93E-05	0.000642915	3.57E-05	5.36E-05	8.93E-05	0.026091615	0	0	0	0.000892937	1.79E-05	3.57E-05	1.79E-05	0.002375212	0.000160729	0.000517903	0.001589428	0.000375033	0.001071524	0.004125368	0.003000268	0.000107152	0.001232253	0.000178587	1.79E-05	0.017144388	0.029020448	0.014751317	8.93E-05	0.000750067	8.93E-05	0.000642915	0.000625056	0.003571747	0.001196535	0.002982409	0.001714439	3.57E-05	7.14E-05	0.000125011	0.012894008	0.209536566
2SM.DN	DN	Normal	Normal	12	DN_12S	0.000162752	9.49E-05	0.000217002	0.000149189	0.002888841	0.000230565	0.007595074	0.000176314	0.000149189	0.002427711	0.02617588	2.71E-05	0.000406879	4.07E-05	4.07E-05	1.36E-05	0.020167634	0.000122064	0.001098573	0.000162752	0.00025769	0.004136603	0.000108501	1.36E-05	0.027803396	0.000122064	0	6.78E-05	0.023463354	0	1.36E-05	1.36E-05	0.000149189	0	4.07E-05	0	0.002047957	8.14E-05	0.000569631	0.000651006	0.000935822	0.001953019	0.008110454	0.002034395	6.78E-05	0.000881571	0.000203439	0.000149189	0.022161341	0.029281723	0.015190148	0.000162752	0.001193512	0	0.001085011	0.000325503	0.000854446	0.00154614	0.00025769	0.005397928	0.003200781	9.49E-05	0.000284815	0.021171269	0.097827266
31i	Inicial	Normal	Normal	0	Inicial	0.000131848	2.20E-05	0.000175797	8.79E-05	0.004197156	0.00028567	0.004438878	0.000175797	6.59E-05	0.004570725	0.06495704	0.000439493	0.000791087	0.000109873	8.79E-05	2.20E-05	0.004988244	4.39E-05	0.001142681	0.000219746	0.000197772	0.004680599	6.59E-05	0.000109873	0.006372646	0	0	8.79E-05	0.006284747	0	0	2.20E-05	0.000175797	4.39E-05	0.000241721	6.59E-05	0.001648098	6.59E-05	0.00061529	0.000835036	0.000725163	0.000593315	0.010767574	0.002900653	8.79E-05	0.001472301	6.59E-05	0.000109873	0.019073989	0.039422506	0.01406377	0.000131848	0.00090096	0	0.00061529	0.000791087	0.006878063	0.000857011	0.000813062	0.003779638	0.004702573	0.000131848	0.000109873	0.010459929	0.203309381
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	9.57E-05	0.000134017	0.000153163	0.000153163	0.00107214	0.000325471	0.009189769	5.74E-05	0.000191454	0.010223618	0.053606984	0.001397611	0.00028718	7.66E-05	1.91E-05	3.83E-05	0.033121458	7.66E-05	0.001033849	0.000344616	0.000229744	0.004882065	7.66E-05	0.000153163	0.011027722	1.91E-05	0.000134017	5.74E-05	0.005303262	0	0	0	0.002871803	0	0	0	0.001187012	0.000191454	0.000153163	0.001952826	0.00024889	0.000861541	0.003675907	0.000344616	9.57E-05	0.000153163	0.000191454	0.000134017	0.015182264	0.019700567	0.008711135	5.74E-05	0.000650942	1.91E-05	0.000516924	1.91E-05	0.000440343	0.001244448	0.00189539	0.001837954	0.001703936	7.66E-05	0.000191454	0.017115944	0.181957421
33i	Inicial	Normal	Normal	0	Inicial	0.000154769	9.52E-05	9.52E-05	9.52E-05	0.001333397	0.000488118	0.005024049	0.000119053	2.38E-05	0.006428878	0.049549979	9.52E-05	0.000297633	0.000154769	2.38E-05	4.76E-05	0.015453117	4.76E-05	0.000833373	0.000214296	2.38E-05	0.003643031	4.76E-05	0.000107148	0.014691176	3.57E-05	0	3.57E-05	0.013512548	3.57E-05	0.001023858	0	0.000678604	0	0.000214296	4.76E-05	0.002178675	4.76E-05	0.000607172	0.00071432	0.00055955	0.001738178	0.008024192	0.000654793	0.000119053	0.000666698	0.000190485	0.000154769	0.017727035	0.022977285	0.016655555	5.95E-05	0.00127387	4.76E-05	0.001000048	0.000285728	0.002107243	0.000142864	0.000654793	0.00417877	0.006155055	7.14E-05	0.000166675	0.001738178	0.114505453
33SM.DN	DN	Normal	Normal	12	DN_12S	0.00011893	1.98E-05	0.000317146	9.91E-05	0.002418236	0.000436075	0.003548067	5.95E-05	3.96E-05	0.00592666	0.021783944	0.001209118	0.000455897	3.96E-05	3.96E-05	1.98E-05	0.016689792	9.91E-05	0.000713578	5.95E-05	5.95E-05	0.004578791	1.98E-05	0.00011893	0.001070367	0.000257681	0.000178394	0.000535183	0.146263627	0	0.003567889	0	0.000911794	0	0.004777007	0	0.000753221	1.98E-05	0.000654113	0.002299306	0.00049554	0.000277502	0.009474727	0.002913776	5.95E-05	0.001129832	5.95E-05	0.000297324	0.016689792	0.015381566	0.010941526	0.00011893	0.001169475	0.00011893	0.000931615	0.000475719	0.002239841	0.00122894	0.004103072	0.001427156	0.000911794	0.000138751	0.000158573	0.012646184	0.100693756
34DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000148772	5.95E-05	5.95E-05	4.46E-05	0.000981894	0	0.102712112	0	0.002142315	0.001725754	0.000728982	0.030810658	0.000669473	0.000119018	0.000297544	0.000550456	0.041522234	0.000119018	0.000788491	0	1.49E-05	0.005415297	5.95E-05	0.00010414	0.045553952	0.000699228	1.49E-05	0.002782034	0.159974411	0.022524064	0	0	0.000267789	0	0	0	0.001115789	0	0.000505824	0	0.000267789	0.000119018	0.004522665	0.002469613	4.46E-05	7.44E-05	0.000133895	5.95E-05	0.009833822	0.039855989	0.04540518	1.49E-05	0.000535579	0.000208281	0.000297544	5.95E-05	0.00010414	2.98E-05	0	0.008881682	0.004745823	8.93E-05	8.93E-05	0	2.98E-05
38DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000129104	7.38E-05	0.000129104	7.38E-05	0.001881225	9.22E-05	0.035946145	3.69E-05	0.000848395	0.00545924	0.010992254	0.001659904	0.000479528	0.000129104	5.53E-05	0.000258207	0.035540391	0.000313537	0.001383253	1.84E-05	0.000774622	0.00540391	3.69E-05	0.000184434	0.002452969	0.000516415	0.000202877	0.000387311	0.203707119	0	0	0	0.002342309	0	0	5.53E-05	0.001567687	1.84E-05	0.000461084	0.002139432	0.000295094	0.000940612	0.004297307	0.002748063	0	0.000479528	0.000147547	3.69E-05	0.012578384	0.024917005	0.015584655	5.53E-05	0.000774622	9.22E-05	0.000571745	0.000313537	0.000239764	0.000903726	0.000793065	0.001051273	0.002489856	5.53E-05	0.00011066	0.012043526	0.003799336
39DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00013964	1.75E-05	3.49E-05	3.49E-05	0.001344039	0	0.07554547	0	0.002181882	0.006144179	0.000733112	0.016687031	0.000541107	0.00013964	0.000261826	0.000436376	0.059399546	8.73E-05	0.000680747	0	1.75E-05	0.006772561	3.49E-05	6.98E-05	0.007558038	1.75E-05	1.75E-05	0.005585617	0.030703439	0.049275615	0	0	8.73E-05	0	1.75E-05	1.75E-05	0.000977483	0.00013964	0.000872753	0	0.00013964	0.000122185	0.003491011	0.001117123	0.000785477	5.24E-05	0.00169314	6.98E-05	0.010926863	0.048647233	0.028835748	5.24E-05	0.000418921	3.49E-05	0.000314191	0.00010473	1.75E-05	0	0	0.007575493	0.002897539	5.24E-05	8.73E-05	1.75E-05	0
39DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000427633	7.78E-05	7.78E-05	7.78E-05	0.000583136	0	0.043987871	0	0.001555029	0.004315204	0.000602574	0.022975547	0.000777514	0.000330444	0.000213816	0.000252692	0.038448081	5.83E-05	0.00108852	1.94E-05	0	0.007639078	3.89E-05	0.000174941	0.042082961	3.89E-05	0	0.001555029	0.01006881	0.011099016	0	0	0	0	0	1.94E-05	0.002313105	0	0.000719201	0	7.78E-05	0.000330444	0.006589434	0.002313105	0.002002099	0.000136065	0.003071181	5.83E-05	0.01959336	0.115558061	0.038001011	3.89E-05	0.000855266	3.89E-05	0.000563698	9.72E-05	3.89E-05	0	0	0.018485402	0.007600202	5.83E-05	0.000174941	0	5.83E-05
