SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	S24-7	Ruminococcaceae	Lachnospiraceae	Rikenellaceae	Bacteroidaceae	Lactobacillaceae	Verrucomicrobiaceae	Odoribacteraceae	F16	Deferribacteraceae	Prevotellaceae	Desulfovibrionaceae	Clostridiaceae	Others
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.10650358	0.060381862	0.03641607	0.053480509	0.056742243	0.180747812	0	0.049144789	0.045544948	0.002486078	0.000596659	0.004574383	0.063981702	0.145385839
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.171834181	0.085441179	0.097166812	0.088802932	0.007493064	0.020494542	0.059316714	0.046477247	0.024868871	0.035602179	0.055205654	0.009113186	0.000506288	0.054476599
48SM.DN	DN	Normal	Normal	12	DN_12S	0.200064084	0.108276644	0.145617667	0.036133294	0.011189983	0.020901114	0.000492951	0.035221335	0.015873016	0.004362615	0.033372769	0.012841368	0.016784975	0.046854974
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.137109621	0.073055977	0.028062831	0.067147038	0.03938058	0.073018931	0	0.049160894	0.055069833	0.001074353	0.00044456	0.003093395	0.088726707	0.186029711
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.212263304	0.088592693	0.09104695	0.094019993	0.009118662	0.014545962	0.087714747	0.050541732	0.01374783	0.00802123	0.075503322	0.004489495	0.001277012	0.043178961
50SM.DN	DN	Normal	Normal	12	DN_12S	0.249968251	0.101871058	0.123417855	0.062121661	0.017927444	0.013461457	0.000338653	0.029864962	0.009651611	2.11658E-05	0.049528002	0.00833933	0.001883757	0.056893705
50i	Inicial	Normal	Normal	0	Inicial	0.234497377	0.067992383	0.109542286	0.041567867	0.005263347	0.011173385	0.179241216	0.009790185	0.010185385	7.18546E-05	0.007185457	0.009574621	0.011460803	0.076866422
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.238330993	0.119682751	0.124485825	0.042365576	0.006157787	0.002660164	0.001748812	0.026847952	0.014926476	0.033522993	0.056380699	0.023325698	0.001108402	0.0484741
51SM.DN	DN	Normal	Normal	12	DN_12S	0.329440831	0.06590506	0.113860968	0.042634513	0.025994594	0.039825999	0.005870428	0.026079061	0.009206859	4.22333E-05	0.022827097	0.003927697	0.030703607	0.064300194
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.123262332	0.154185351	0.064947683	0.068740658	0.101139761	0.023449178	0	0.046076233	0.020478326	0.02784006	0.000616592	0.051718984	0.004073244	0.042507474
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.109792285	0.062240356	0.03143546	0.053134273	0.065671365	0.230396884	0	0.051594955	0.02648368	0.009996291	0.00046365	0.016116469	0.033048961	0.058234421
59DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.131555501	0.07106853	0.02547141	0.070873253	0.110319155	0.158747788	8.54336E-05	0.041764814	0.034588393	0.000671264	0.000683469	0.002575212	0.059888936	0.074668945
59i	Inicial	Normal	Normal	0	Inicial	0.262508396	0.075386226	0.109736476	0.025461987	0.003139791	0.017589078	0.186075574	0.006638862	0.00440508	0	0.004139525	0.003686521	0.015730197	0.047846666
