SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	k__Bacteria;p__;c__	k__Bacteria;p__Acidobacteria;c__BPC102	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Acidobacteria;c__Sva0725	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__	k__Bacteria;p__Bacteroidetes;c__BME43	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Chlorobi;c__OPB56	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__TM6;c__SJA-4	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__[Caldithrix];c__KSB1
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000497779139225	0.000172308163578	5.7436054526e-05	7.65814060346e-05	0.000612651248277	0.00112957573901	1.91453515087e-05	9.57267575433e-05	0.371706999541	0.00654771021596	0.000268034921121	1.91453515087e-05	0.00028718027263	0.00681574513708	0.011027722469	0.00562873334354	0.339485372951	0.00444172155001	5.7436054526e-05	3.82907030173e-05	0.00350359932608	0.00189538979936	0.0057627508041	7.65814060346e-05	0.00281436667177	0.000114872109052	0.0214619390412	0.0237210905192	0.000363761678664	0.190745137081	0.000459488436208	9.57267575433e-05
33SM.DN	DN	Normal	Normal	12	DN_12S	0.000773042616452	0.000237859266601	9.91080277502e-05	1.982160555e-05	0.000654112983152	0.00267591674926	0.0	0.00017839444995	0.345074331021	0.00560951437066	0.000436075322101	0.0001982160555	0.000673934588702	0.0143508424182	0.0010703666997	0.150921704658	0.314945490585	0.00432111000991	0.000336967294351	0.0	0.00396432111001	0.00410307234886	0.00406342913776	0.00013875123885	0.00368681863231	1.982160555e-05	0.0217839444995	0.0134588701685	0.000336967294351	0.105510406343	0.0001982160555	0.0001585728444
33i	Inicial	Normal	Normal	0	Inicial	0.000500023810658	0.00029763322063	8.33373017763e-05	7.14319729511e-05	0.000583361112434	0.00145245011667	0.0	4.76213153007e-05	0.311621981999	0.00445259298062	0.000428591837707	3.57159864755e-05	0.000214295918853	0.00215486451736	0.0146911757703	0.0146554597838	0.481022905853	0.00303585885042	0.000202390590028	8.33373017763e-05	0.00283346826039	0.000654793085385	0.0130482403924	7.14319729511e-05	0.0032144387828	0.000250011905329	0.0205843135387	0.00333349207105	3.57159864755e-05	0.119898566598	0.00032144387828	0.000119053288252
34DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000714105062707	0.000535578797031	1.48771888064e-05	2.97543776128e-05	0.000312420964934	0.00107115759406	5.95087552256e-05	5.95087552256e-05	0.378832735766	0.00693276998378	0.000327298153741	0.000252912209709	0.000386806908966	0.000386806908966	0.0455539521252	0.185994614458	0.335272326941	0.00132406980377	0.000223157832096	0.0	0.00104140321645	0.0	0.0177038546796	8.92631328384e-05	0.00169599952393	0.000282666587322	0.0206792924409	0.000178526265677	1.48771888064e-05	2.97543776128e-05	0.0	0.0
38DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000756178531907	0.000276650682405	5.5330136481e-05	3.6886757654e-05	0.000516414607156	0.00208410180745	1.8443378827e-05	0.00018443378827	0.399114717816	0.00887126521579	0.00055330136481	0.00018443378827	0.000571744743637	0.0090188122464	0.00245296938399	0.204887495389	0.299336038362	0.00217631870159	0.000147547030616	0.0	0.00483216525267	0.000793065289561	0.00540390999631	5.5330136481e-05	0.00291405385467	7.3773515308e-05	0.0368683142752	0.0133714496496	0.000276650682405	0.00403909996311	0.0	0.000129103651789
39DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000890207715134	0.000174550532379	3.49101064758e-05	5.23651597137e-05	0.000226915692093	0.00144876941875	5.23651597137e-05	3.49101064758e-05	0.413440390993	0.00804677954268	0.000453831384186	6.98202129516e-05	0.000314190958282	0.00164077500436	0.00755803805202	0.0855995810787	0.437301448769	0.000261825798569	0.000436376330948	3.49101064758e-05	0.00244370745331	0.0	0.0145749694537	5.23651597137e-05	0.00148367952522	0.000192005585617	0.0226217489963	0.000541106650375	1.74550532379e-05	0.0	0.0	0.0
39DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.00120514714458	0.000874703572678	5.83135715119e-05	9.71892858531e-05	0.000680325000972	0.000680325000972	7.77514286825e-05	9.71892858531e-05	0.313571511877	0.00954398787078	0.00118570928741	0.000194378571706	0.000252692143218	0.00233254286048	0.0420829607744	0.0227617307468	0.538934027913	0.000349881429071	0.000291567857559	7.77514286825e-05	0.00190491000272	0.0	0.0370679936244	5.83135715119e-05	0.0037709442911	0.000680325000972	0.0208568207441	0.000194378571706	0.0	5.83135715119e-05	0.0	5.83135715119e-05
45DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000424115189686	6.36172784528e-05	6.36172784528e-05	8.48230379371e-05	0.000318086392264	0.00167525499926	2.12057594843e-05	0.000106028797421	0.404224187289	0.0094365629705	0.000466526708654	0.000233263354327	0.000360497911233	0.00746442733847	0.00212057594843	0.21627754098	0.291854867782	0.00222660474585	0.000190851835358	0.0	0.00619208176941	0.000911847657824	0.00436838645376	2.12057594843e-05	0.00277795449244	6.36172784528e-05	0.0348622685921	0.0111330237292	0.000233263354327	0.00182369531565	0.0	0.0
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000755767700875	0.000318217979316	5.96658711217e-05	0.0	0.000397772474145	0.00294351630867	0.000119331742243	3.97772474145e-05	0.330489260143	0.00678202068417	0.000735879077168	0.000119331742243	0.000298329355609	0.000676213206046	0.0024860779634	0.21169451074	0.306205250597	0.0794351630867	0.00035799522673	5.96658711217e-05	0.00117342879873	0.0	0.00552903739061	5.96658711217e-05	0.00157120127287	5.96658711217e-05	0.0473747016706	0.00021877486078	0.0	0.0	0.0	3.97772474145e-05
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00111383381599	0.000607545717815	2.02515239272e-05	6.07545717815e-05	0.000607545717815	0.000870815528869	2.02515239272e-05	0.000101257619636	0.39273780352	0.0103890317746	0.000850564004941	8.10060957087e-05	0.000486036574252	0.00593369651066	0.035602179064	0.0209603272646	0.403147086818	0.00289596792159	0.000182263715345	0.000101257619636	0.00153911581847	0.000121509143563	0.0102270195832	0.000202515239272	0.00575143279532	0.000121509143563	0.0258409445311	0.0192591992547	0.000607545717815	0.0593167135827	0.00014176066749	0.000101257619636
48SM.DN	DN	Normal	Normal	12	DN_12S	0.000961254066844	0.00027112294193	0.000123237700877	0.000123237700877	0.000813368825791	0.00253869663808	2.46475401755e-05	2.46475401755e-05	0.360174504584	0.00771468007493	0.000517598343685	0.000172532781228	0.00027112294193	0.00561963916001	0.00436261461106	0.021763777975	0.545524006704	0.00396825396825	0.00027112294193	2.46475401755e-05	0.00140490979	0.000640836044563	0.0143941634625	4.9295080351e-05	0.0049295080351	0.000394360642808	0.0164645568372	0.00561963916001	0.000147885241053	0.00049295080351	0.0	0.000197180321404
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000815026117882	0.000111139925166	0.0	1.8523320861e-05	0.000314896454636	0.00479754010299	0.0	1.8523320861e-05	0.359445041307	0.00679805875597	0.000370466417219	0.000129663246027	0.000333419775497	0.000518652984107	0.00107435260994	0.101859741414	0.341329233505	0.116437594932	0.00018523320861	1.8523320861e-05	0.00096321268477	0.000166709887749	0.00411217723113	1.8523320861e-05	0.00122253917682	7.40932834439e-05	0.0571259215352	0.00164857555663	1.8523320861e-05	0.0	0.0	7.40932834439e-05
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.00121715186464	0.000279346329589	9.97665462817e-05	5.9859927769e-05	0.000738272442485	0.00159626474051	0.0	3.99066185127e-05	0.458866252968	0.0107747869984	0.000977712153561	0.000119719855538	0.000259393020332	0.00558692659178	0.00802123032105	0.0147255422312	0.372209030868	0.00271365005886	0.000199533092563	7.98132370254e-05	0.00119719855538	0.000518786040665	0.00570664644731	0.000119719855538	0.00377117544945	3.99066185127e-05	0.0143863359738	0.0075423508989	0.000119719855538	0.0877147474909	0.000139673164794	0.000179579783307
50SM.DN	DN	Normal	Normal	12	DN_12S	0.0015027727215	8.46632519155e-05	8.46632519155e-05	8.46632519155e-05	0.000740803454261	0.00234940524066	2.11658129789e-05	8.46632519155e-05	0.45622909876	0.0113872073826	0.0011006222749	0.000275155568725	0.000423316259578	0.00950345002752	2.11658129789e-05	0.014011768192	0.459848452779	0.00294204800406	0.00019049231681	0.0	0.00321720357279	0.00334419845066	0.00965161071837	0.00019049231681	0.00416966515684	0.000148160690852	0.0102865851077	0.00740803454261	0.000211658129789	0.000338653007662	0.0	0.000148160690852
50i	Inicial	Normal	Normal	0	Inicial	0.000538909247683	0.000197600057484	0.000215563699073	8.98182079471e-05	0.00061076381404	0.00294603722067	0.0	0.000251490982252	0.304681324998	0.00434720126464	0.00030538190702	0.0	0.000251490982252	5.38909247683e-05	7.18545663577e-05	0.011856003449	0.402511317094	0.0059459653661	5.38909247683e-05	0.0	0.0121793489976	0.000143709132715	0.0102213120644	8.98182079471e-05	0.00388014658332	0.00030538190702	0.0106704031041	0.0470827046059	0.000772436588345	0.179241215779	0.000341309190199	0.000143709132715
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN	0.000714303307963	0.000738934456514	4.92622971009e-05	4.92622971009e-05	0.000862090199266	0.00236459026084	0.0	4.92622971009e-05	0.387866696224	0.00901500036947	0.000492622971009	2.46311485505e-05	0.000246311485505	0.0136949185941	0.0335229931772	0.00285721323185	0.477154609719	0.0078573363876	0.000172418039853	0.00051725411956	0.00110840168477	0.000295573782605	0.0247296731447	0.000123155742752	0.0052218034927	7.38934456514e-05	0.0157393039237	0.0122663119781	0.000270942634055	0.00174881154708	4.92622971009e-05	0.000123155742752
51SM.DN	DN	Normal	Normal	12	DN_12S	0.00147816538559	0.000274516428752	0.000126699890193	0.00019004983529	0.000717966044429	0.00295633077118	2.11166483656e-05	2.11166483656e-05	0.475525804544	0.0117197398429	0.000739082692795	0.000253399780387	0.000401216318946	0.0244530788073	4.22332967311e-05	0.0425922797534	0.391333727511	0.010452740941	0.000464566264043	6.33499450967e-05	0.000802432637892	0.00979812484163	0.00511022890447	0.000105583241828	0.00356871357378	8.44665934623e-05	0.0096291916547	0.000823549286257	2.11166483656e-05	0.00587042824563	0.0	0.000358983022215
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.00125186846039	0.000298953662182	1.86846038864e-05	1.86846038864e-05	0.000616591928251	0.000504484304933	9.3423019432e-05	3.73692077728e-05	0.391087443946	0.00807174887892	0.00072869955157	0.000130792227205	0.000186846038864	0.00220478325859	0.0278400597907	0.03355754858	0.453176382661	0.000112107623318	0.000336322869955	0.000298953662182	0.00112107623318	1.86846038864e-05	0.0534005979073	3.73692077728e-05	0.00263452914798	0.000541853512706	0.0213378176383	0.000298953662182	0.0	0.0	0.0	3.73692077728e-05
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000704747774481	0.000111275964392	3.70919881306e-05	0.0	0.000408011869436	0.00178041543027	9.27299703264e-05	7.41839762611e-05	0.329043026706	0.00684347181009	0.000426557863501	0.000111275964392	0.000408011869436	0.00209569732938	0.00999629080119	0.25446958457	0.3396884273	0.00389465875371	0.000408011869436	0.000166913946588	0.00198442136499	0.0	0.0172106824926	3.70919881306e-05	0.00163204747774	7.41839762611e-05	0.02728115727	0.000908753709199	0.0	0.0	0.0	0.000111275964392
59DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000524806248856	4.88191859401e-05	1.2204796485e-05	3.66143894551e-05	0.000353939098066	0.00225788734973	0.000134252761335	0.000183071947275	0.445584914872	0.00735949228047	0.000524806248856	1.2204796485e-05	0.000280710319155	0.00158662354305	0.000671263806676	0.188881430402	0.295807652407	0.00905595899188	0.00019527674376	0.00012204796485	0.00416183560139	2.440959297e-05	0.00366143894551	1.2204796485e-05	0.00118386525905	2.440959297e-05	0.0360407640203	0.00109843168365	2.440959297e-05	8.54335753951e-05	0.0	4.88191859401e-05
59i	Inicial	Normal	Normal	0	Inicial	0.000484246372057	0.000124966805692	7.81042535576e-05	0.000124966805692	0.00071855913273	0.00212443569677	0.0	0.000374900417077	0.306449849259	0.00429573394567	0.000140587656404	0.0	0.000265554462096	0.000218691909961	0.0	0.0182295327804	0.429479669463	0.00399893778215	0.000140587656404	3.12417014231e-05	0.010450349126	0.000328037864942	0.00448318415421	4.68625521346e-05	0.00354593311152	7.81042535576e-05	0.00457690925848	0.0219785369511	0.00051548807348	0.186075573676	0.00060921317775	3.12417014231e-05
