SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	k__Bacteria;p__;c__	k__Bacteria;p__Acidobacteria;c__BPC102	k__Bacteria;p__Acidobacteria;c__Solibacteres	k__Bacteria;p__Acidobacteria;c__Sva0725	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__	k__Bacteria;p__Bacteroidetes;c__BME43	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__[Saprospirae]	k__Bacteria;p__Chlorobi;c__OPB56	k__Bacteria;p__Chloroflexi;c__Anaerolineae	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Deferribacteres;c__Deferribacteres	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Gemmatimonadetes;c__Gemm-1	k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__TM6;c__SJA-4	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae]	k__Bacteria;p__[Caldithrix];c__KSB1
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000985895336079	0.000159015376787	0.000111310763751	6.36061507148e-05	0.000810978421613	0.00136753224037	3.18030753574e-05	4.77046130361e-05	0.42690858206	0.00839601189435	0.00073147073322	3.18030753574e-05	0.000318030753574	0.0150110515687	0.00422980902253	0.00276686755609	0.443716507386	0.00214670758662	0.000143113839108	1.59015376787e-05	0.000954092260722	6.36061507148e-05	0.0116558271185	6.36061507148e-05	0.00430931671093	0.000254424602859	0.0455897085248	0.0183980790942	0.000477046130361	0.0101610825767	1.59015376787e-05	6.36061507148e-05
2SM.DN	DN	Normal	Normal	12	DN_12S	0.000651006347312	0.000461129496013	8.1375793414e-05	0.000122063690121	0.000732382140726	0.00316009331091	0.0	0.000122063690121	0.309322953399	0.00580480659686	0.000339065805892	0.000135626322357	0.000217002115771	0.00135626322357	0.0278033960831	0.0238702327348	0.459759670157	0.00321434383985	0.000162751586828	1.35626322357e-05	0.00321434383985	0.000257690012478	0.0133185048554	9.49384256497e-05	0.0050181739272	0.000217002115771	0.0157869039223	0.0213475831389	0.000447566863777	0.102587750231	0.000244127380242	0.000135626322357
2i	Inicial	Normal	Normal	0	Inicial	0.00103580676846	0.000142869899098	7.14349495491e-05	5.35762121618e-05	0.000482185909456	0.00217876596125	0.0	0.0	0.375908563265	0.00748281096526	0.000696490758103	0.000160728636485	0.00019644611126	0.00892936869363	0.000642914545942	0.0263952138584	0.318242700241	0.00773283328869	0.00019644611126	3.57174747745e-05	0.000482185909456	0.00298240914367	0.00310742030538	7.14349495491e-05	0.00264309313332	8.92936869363e-05	0.00651843914635	0.0131797481918	0.000321457272971	0.219430306277	0.000410750959907	0.000178587373873
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000628327079152	0.000837769438869	1.74535299764e-05	1.74535299764e-05	0.000349070599529	0.000872676498822	8.72676498822e-05	3.49070599529e-05	0.406318177851	0.00771446024959	0.000506152369317	0.000122174709835	0.000191988829741	0.00263548302644	0.0788899554935	0.0707740640545	0.351932978445	0.00223405183698	0.000314163539576	0.00024434941967	0.00129156121826	0.0	0.0372458329697	6.98141199058e-05	0.00242604066672	0.000628327079152	0.031817785147	0.00171044593769	0.0	0.0	1.74535299764e-05	6.98141199058e-05
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.00128931983963	0.000176619156114	8.83095780568e-05	7.06476624455e-05	0.000370900227839	0.00210176795775	0.00012363340928	1.76619156114e-05	0.454229145693	0.00960808209258	0.000441547890284	0.000194281071725	0.000264928734171	0.00436249315601	0.00785955244706	0.0410462918808	0.369805189071	0.00038856214345	0.000211942987336	1.76619156114e-05	0.000582843215175	0.0	0.0201875695438	0.00012363340928	0.00247266818559	0.000494533637118	0.0819159646055	0.0013952913333	1.76619156114e-05	8.83095780568e-05	0.0	5.29857468341e-05
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000550167408083	0.000235786032035	4.71572064071e-05	3.14381376047e-05	0.000361538582454	0.00149331153622	7.85953440118e-05	4.71572064071e-05	0.407674049389	0.00724649071789	0.000471572064071	1.57190688024e-05	0.00033010044485	0.00425986764544	0.0195545215901	0.0321926529072	0.463209519468	0.00161906408664	0.000172909756826	0.000157190688024	0.00136755898581	0.0	0.0254020151846	4.71572064071e-05	0.00276655610922	0.000251505100838	0.0297404781741	0.00053444833928	0.0	3.14381376047e-05	0.0	0.000110033481617
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000732517254851	0.00156270347702	0.000162781612189	6.51126448756e-05	0.00110691496289	0.00319051959891	1.62781612189e-05	0.0	0.258887876026	0.00520901159005	0.00014650345097	0.000423232191692	0.00014650345097	0.000569735642662	0.0906205235057	0.00190454486261	0.561059382732	0.00139992186483	0.000162781612189	0.0	0.000504622997786	0.000162781612189	0.0194524026566	6.51126448756e-05	0.0062019794244	0.000341841385597	0.0365281937752	0.00911577028259	0.000179059773408	3.25563224378e-05	0.0	4.88344836567e-05
8SM.DN	DN	Normal	Normal	12	DN_12S	0.000862956879993	0.000306210505804	2.78373187095e-05	2.78373187095e-05	0.00050107173677	0.00208779890321	0.0	8.35119561284e-05	0.396319906467	0.0119143724076	0.00133619129805	5.56746374189e-05	0.000250535868385	0.0050107173677	0.00192077499095	0.0988224814186	0.226456587701	0.0175653481057	0.000278373187095	2.78373187095e-05	0.0020599615845	0.00361885143223	0.00367452606965	0.000194861230966	0.00261670795869	0.000167023912257	0.00211563622192	0.022993625254	0.000668095649027	0.197533613562	0.000389722461932	0.000111349274838
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000703340869128	0.0016578749058	2.51193167546e-05	0.0	0.000452147701583	0.000527505651846	7.53579502638e-05	5.02386335092e-05	0.333182617433	0.0063049485054	0.000502386335092	7.53579502638e-05	0.000125596583773	0.00125596583773	0.141899020347	0.0118563175082	0.414745038935	0.000477267018337	0.000301431801055	2.51193167546e-05	0.00160763627229	0.0	0.0409947249435	0.0	0.00241145440844	0.000778698819392	0.0398392363728	2.51193167546e-05	0.0	0.0	0.0	0.000100477267018
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000577085275447	0.00015536911262	2.21955875172e-05	8.87823500688e-05	0.00047720513162	0.00166466906379	3.32933812758e-05	0.0	0.34091312647	0.00549340791051	0.000510498512896	1.10977937586e-05	0.000255249256448	0.000244151462689	0.0109091312647	0.040595729569	0.526401651352	0.000843432325654	0.000233053668931	0.000221955875172	0.000466107337861	0.0	0.0368446752786	5.5488968793e-05	0.00345141385892	0.000543791894171	0.0285546233409	0.000288542637724	3.32933812758e-05	4.43911750344e-05	0.0	6.65867625516e-05
13i	Inicial	Normal	Normal	0	Inicial	0.00049862877088	0.000178081703886	0.00012465719272	3.56163407771e-05	0.000427396089326	0.0056095736724	0.0	1.78081703886e-05	0.368646935214	0.0059301207394	0.000480820600492	0.000106849022331	8.90408519429e-05	0.00121095558642	0.00174520069808	0.0209067920362	0.369483919222	0.0117355842861	0.000160273533497	0.0	0.000302738896606	0.00487943868647	0.00958079566905	0.000142465363109	0.00274245823984	0.000284930726217	0.0131602379172	0.00103287388254	3.56163407771e-05	0.179951561777	0.000427396089326	7.12326815543e-05
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000627389185561	0.000437713385275	4.37713385275e-05	4.37713385275e-05	0.000700341416441	0.000962969447606	0.000145904461758	0.0	0.409553824156	0.00650733899443	0.000277218477341	5.83617847034e-05	0.000145904461758	0.000569027400858	0.0278677521959	0.0129271353118	0.471665353527	0.000277218477341	0.000204266246462	1.45904461758e-05	0.000452303831451	7.29522308792e-05	0.048542414427	5.83617847034e-05	0.0030202223584	0.000802474539671	0.0140068283288	0.0	0.0	0.0	0.0	1.45904461758e-05
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00109347378397	0.000291593009058	3.64491261322e-05	9.11228153305e-05	0.000583186018115	0.00167665980208	0.000182245630661	0.0	0.532594631044	0.0108436150243	0.000911228153305	5.46736891983e-05	0.000291593009058	0.013777769678	0.00663374095606	0.0354103260374	0.292504237211	0.00450146707733	0.000200470193727	0.0	0.000400940387454	0.000546736891983	0.00718047784804	0.000127571941463	0.00238741776166	7.28982522644e-05	0.0118824151191	0.0282298481894	0.000583186018115	0.0467460042645	9.11228153305e-05	7.28982522644e-05
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000813291506913	0.000232369001975	5.80922504938e-05	1.45230626234e-05	0.000290461252469	0.00258510514697	1.45230626234e-05	2.90461252469e-05	0.379240734286	0.00739223887533	0.000479261066574	8.71383757407e-05	0.000392122690833	0.0013651678866	0.00747937725107	0.123257232485	0.39409782735	0.00397931915882	0.000304984315092	0.0	0.00042116881608	2.90461252469e-05	0.0086702683862	5.80922504938e-05	0.00152492157546	0.000116184500988	0.0660073196236	0.000958522133147	0.0	0.0	0.0	0.000101661438364
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000946490852749	0.000285243818637	2.59312562397e-05	2.59312562397e-05	0.000544556381034	0.00194484421798	0.000103725024959	1.29656281199e-05	0.433220532369	0.00669026410984	0.000531590752914	0.0	0.000181518793678	0.000816834571551	0.0199281704202	0.0330234548213	0.438692027435	0.000142621909318	0.000220415678038	0.000544556381034	0.000622350149753	1.29656281199e-05	0.0480635834403	5.18625124794e-05	0.00300802572381	0.000427865727955	0.00976311797425	7.77937687191e-05	0.0	2.59312562397e-05	0.0	6.48281405993e-05
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000968444838996	0.00014123153902	0.0	2.01759341458e-05	0.000221935275603	0.00187636187555	0.000201759341458	2.01759341458e-05	0.527519974175	0.0111169397143	0.00100879670729	0.00014123153902	0.000383342748769	0.00230005649262	0.00121055604875	0.0700306674199	0.322229844242	0.0190259058994	0.000423694617061	0.0	0.000302639012186	0.0	0.00494310386571	2.01759341458e-05	0.00135178758777	8.0703736583e-05	0.0328867726576	0.000988620773142	0.000423694617061	2.01759341458e-05	0.0	0.00014123153902
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000779144372272	0.000826847088942	1.59009055566e-05	4.77027166697e-05	0.000453175808362	0.000818896636163	0.000135157697231	0.00023056313057	0.395463471645	0.00674993440876	0.000246464036127	3.97522638914e-05	0.00032596856391	0.00027826584724	0.062967586004	0.0424156655722	0.431987851708	0.000373671280579	0.000222612677792	0.000318018111131	0.00668633078654	0.0	0.0298459997297	9.54054333394e-05	0.00336304152521	0.000341869469466	0.0148355448843	4.77027166697e-05	0.0	3.18018111131e-05	0.0	5.5653169448e-05
31i	Inicial	Normal	Normal	0	Inicial	0.000615289955391	0.000197771771376	6.59239237919e-05	8.78985650559e-05	0.000483442107808	0.00435097897027	0.0	0.000153822488848	0.356099061683	0.00595512778254	0.00032961961896	2.1974641264e-05	0.000241721053904	0.00140637704089	0.00637264596655	0.00648251917287	0.329355923265	0.0095809435911	8.78985650559e-05	2.1974641264e-05	0.00564748280484	0.000813061726767	0.010569802448	0.000131847847584	0.00336212011339	0.000263695695168	0.03146768629	0.0126573933681	0.000285670336432	0.21227503461	0.000593315314127	2.1974641264e-05
