SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	k__Bacteria;p__	k__Bacteria;p__Acidobacteria	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Chlorobi	k__Bacteria;p__Chloroflexi	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Deferribacteres	k__Bacteria;p__Firmicutes	k__Bacteria;p__Gemmatimonadetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__TM6	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__[Caldithrix]
13i	Inicial	Normal	Normal	0	Inicial	0.00049862877088	0.000338355237383	0.00603696976173	0.375075684724	0.000106849022331	8.90408519429e-05	0.00121095558642	0.00174520069808	0.402126295544	0.000160273533497	0.0176478968551	0.000284930726217	0.0131602379172	0.00106849022331	0.180378957866	7.12326815543e-05
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000627389185561	0.00052525606233	0.00166331086405	0.416484286089	5.83617847034e-05	0.000145904461758	0.000569027400858	0.0278677521959	0.484869707316	0.000218856692638	0.0521462546325	0.000802474539671	0.0140068283288	0.0	0.0	1.45904461758e-05
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.00109347378397	0.00041916495052	0.0022598458202	0.544531719852	5.46736891983e-05	0.000291593009058	0.013777769678	0.00663374095606	0.332416030326	0.000200470193727	0.0106431448306	7.28982522644e-05	0.0118824151191	0.0288130342075	0.0468371270799	7.28982522644e-05
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000813291506913	0.000304984315092	0.00287556639944	0.387155803416	8.71383757407e-05	0.000392122690833	0.0013651678866	0.00747937725107	0.521334378994	0.000304984315092	0.0107034971535	0.000116184500988	0.0660073196236	0.000958522133147	0.0	0.000101661438364
26DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000946490852749	0.000337106331116	0.00248940059901	0.440559077885	0.0	0.000181518793678	0.000816834571551	0.0199281704202	0.471858104166	0.000764972059071	0.0517587874545	0.000427865727955	0.00976311797425	7.77937687191e-05	2.59312562397e-05	6.48281405993e-05
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000968444838996	0.000161407473166	0.00209829715116	0.539867645872	0.00014123153902	0.000383342748769	0.00230005649262	0.00121055604875	0.411286417561	0.000423694617061	0.00661770639981	8.0703736583e-05	0.0328867726576	0.0014123153902	2.01759341458e-05	0.00014123153902
27DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000779144372272	0.000890450711168	0.00127207244453	0.402825590917	3.97522638914e-05	0.00032596856391	0.00027826584724	0.062967586004	0.474777188561	0.000540630788923	0.0399907774748	0.000341869469466	0.0148355448843	4.77027166697e-05	3.18018111131e-05	5.5653169448e-05
31i	Inicial	Normal	Normal	0	Inicial	0.000615289955391	0.000351594260224	0.00483442107808	0.362537631573	2.1974641264e-05	0.000241721053904	0.00140637704089	0.00637264596655	0.345419386029	0.00010987320632	0.0205243149406	0.000263695695168	0.03146768629	0.0129430637045	0.212868349924	2.1974641264e-05
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000497779139225	0.000306325624138	0.00174222698729	0.378637616787	1.91453515087e-05	0.00028718027263	0.00681574513708	0.011027722469	0.349555827845	9.57267575433e-05	0.0140526880074	0.000114872109052	0.0214619390412	0.0240848521979	0.191204625517	9.57267575433e-05
33SM.DN	DN	Normal	Normal	12	DN_12S	0.000773042616452	0.000356788899901	0.00333002973241	0.351298315164	0.0001982160555	0.000673934588702	0.0143508424182	0.0010703666997	0.470188305253	0.000336967294351	0.0159563924678	1.982160555e-05	0.0217839444995	0.0137958374628	0.105708622398	0.0001585728444
