SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	Actinobaculum;s__	Varibaculum;s__	Brevibacterium;s__	Nocardia;s__	Adlercreutzia;s__	5-7N15;s__	Bacteroides;s__	Bacteroides;s__acidifaciens	Candidatus Azobacteroides;s__	Paludibacter;s__	Parabacteroides;s__	Parabacteroides;s__distasonis	Prevotella;s__	AF12;s__	Blvii28;s__	PW3;s__	Rikenella;s__	Butyricimonas;s__	Odoribacter;s__	CF231;s__	Paraprevotella;s__	Prevotella;s__	Fluviicola;s__	Flavobacterium;s__	Psychroflexus;s__	Caldilinea;s__	Mucispirillum;s__schaedleri	Cohnella;s__	Staphylococcus;s__	Enterococcus;s__	Lactobacillus;s__	Lactobacillus;s__reuteri	Lactobacillus;s__vaginalis	Lactococcus;s__	Turicibacter;s__	Alkaliphilus;s__	Candidatus Arthromitus;s__	Clostridiisalibacter;s__	Clostridium;s__	Clostridium;s__perfringens	SMB53;s__	Dehalobacterium;s__	Pseudoramibacter_Eubacterium;s__	Lutispora;s__	Anaerostipes;s__	Blautia;s__	Blautia;s__producta	Butyrivibrio;s__	Coprococcus;s__	Dorea;s__	Lachnobacterium;s__	Moryella;s__	Roseburia;s__	Syntrophococcus;s__sucromutans	Ruminococcus;s__	Ruminococcus;s__gnavus	Oscillospira;s__	Ruminococcus;s__	Ruminococcus;s__flavefaciens	Syntrophomonas;s__	Fusibacter;s__	Mogibacterium;s__	Tepidimicrobium;s__	WAL_1855D;s__	Allobaculum;s__	Coprobacillus;s__	Sutterella;s__	Bilophila;s__	Desulfovibrio;s__	Desulfovibrio;s__C21_c20	Sulfurimonas;s__autotrophica	Haemophilus;s__parainfluenzae	Anaeroplasma;s__	Akkermansia;s__muciniphila
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	9.54092260722e-05	3.18030753574e-05	0.000206719989823	7.95076883935e-05	0.00120851686358	0.000397538441967	0.0191613529028	0.00101769841144	4.77046130361e-05	0.000508849205718	0.00138343377805	0.00395948288199	0.0367961581885	0.00435702132396	0.000461144592682	0.00012721230143	6.36061507148e-05	0.000111310763751	0.0457964285146	0.000190818452144	0.00190818452144	0.000302129215895	0.000286227678216	0.00637651660916	6.36061507148e-05	7.95076883935e-05	0.00422980902253	0.0	0.0	6.36061507148e-05	0.00251244295323	0.0	0.0	0.0	0.0	3.18030753574e-05	0.00217851066198	3.18030753574e-05	1.59015376787e-05	1.59015376787e-05	0.0	0.00206719989823	0.0	0.000763273808577	0.00138343377805	0.000524750743397	7.95076883935e-05	0.000254424602859	0.00760093501042	0.00275096601841	0.0	0.000906387647686	6.36061507148e-05	0.000747372270899	4.77046130361e-05	0.0179051314262	0.0431726747977	0.0193362698173	0.00230572296341	4.77046130361e-05	0.0009699937984	1.59015376787e-05	0.000747372270899	0.000651963044826	0.00036573536661	0.00139933531573	6.36061507148e-05	0.00434111978628	0.00324391368645	7.95076883935e-05	6.36061507148e-05	0.000174916914466	0.0180323437276	0.0097794456724
2SM.DN	DN	Normal	Normal	12	DN_12S	0.000162751586828	9.49384256497e-05	0.000217002115771	0.000149188954592	0.0028888406662	0.000230564748006	0.00728313351055	0.00031194054142	0.000176314219064	0.000149188954592	0.000786632669669	0.00164107850052	0.0261758802148	2.71252644713e-05	0.00040687896707	4.0687896707e-05	4.0687896707e-05	1.35626322357e-05	0.0201676341344	0.000122063690121	0.00109857321109	0.000162751586828	0.000257690012478	0.00413660283188	0.000108501057885	1.35626322357e-05	0.0278033960831	0.000122063690121	0.0	6.78131611783e-05	0.0234497911355	0.0	1.35626322357e-05	0.0	1.35626322357e-05	1.35626322357e-05	0.000149188954592	0.0	0.0	4.0687896707e-05	0.0	0.00204795746759	8.1375793414e-05	0.000569630553898	0.000651006347312	0.000759507405197	0.000176314219064	0.00195301904194	0.00811045407693	0.00203439483535	6.78131611783e-05	0.000881571095318	0.000203439483535	0.000149188954592	0.000108501057885	0.0220528400152	0.0292817229968	0.0106059784083	0.00458416969565	0.000162751586828	0.00119351163674	0.0	0.00108501057885	0.000325503173656	0.000854445830847	0.00154614007487	0.000257690012478	0.00539792762979	0.00320078120762	0.0	9.49384256497e-05	0.000284815276949	0.0211712689199	0.0978272663158
2i	Inicial	Normal	Normal	0	Inicial	0.000125011161711	7.14349495491e-05	0.000142869899098	3.57174747745e-05	0.00194660237521	0.0	0.0256272881507	0.0046254129833	0.000214304848647	0.000446468434682	0.000732208232878	1.78587373873e-05	0.0241092954728	0.0	0.000607197071167	3.57174747745e-05	3.57174747745e-05	0.000107152424324	0.0274667381016	0.000535762121618	0.00178587373873	0.0	8.92936869363e-05	0.00616126439861	0.000125011161711	8.92936869363e-05	0.000642914545942	3.57174747745e-05	5.35762121618e-05	8.92936869363e-05	0.0258951692115	0.000160728636485	3.57174747745e-05	0.0	0.0	0.0	0.000892936869363	1.78587373873e-05	3.57174747745e-05	0.0	1.78587373873e-05	0.00237521207251	0.000160728636485	0.000517903384231	0.00158942762747	0.000285739798196	8.92936869363e-05	0.00107152424324	0.00412536833646	0.00300026788106	0.000107152424324	0.00123225287972	0.000178587373873	1.78587373873e-05	7.14349495491e-05	0.0170729529422	0.0290204482543	0.0121618001607	0.00258951692115	8.92936869363e-05	0.000750066970265	8.92936869363e-05	0.000642914545942	0.000625055808554	0.00357174747745	0.00119653540495	0.00298240914367	0.00171443878918	3.57174747745e-05	0.0	7.14349495491e-05	0.000125011161711	0.0128940083936	0.209536565765
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	0.000104721179859	3.49070599529e-05	0.000122174709835	6.98141199058e-05	0.000802862378916	0.0	0.100375250894	0.000209442359717	1.74535299764e-05	0.00221659830701	0.00211187712715	0.00141373592809	0.000645780609128	0.0227768566193	0.000680687669081	0.000122174709835	0.000226895889694	0.000401431189458	0.0411030630945	0.000191988829741	0.000942490618728	0.0	3.49070599529e-05	0.00610873549175	6.98141199058e-05	0.000104721179859	0.0788899554935	0.000314163539576	0.0	0.00134392180819	0.0564447159438	0.00347325246531	0.000820315908893	0.00837769438869	0.0	0.00225150536696	1.74535299764e-05	0.000645780609128	0.0	0.0	0.023719347238	0.00113447944847	3.49070599529e-05	0.00123920062833	0.0	0.000279256479623	1.74535299764e-05	0.00024434941967	0.00788899554935	0.0012566541583	0.000139628239812	0.00054105942927	0.000226895889694	3.49070599529e-05	5.23605899293e-05	0.0131250545423	0.051086482241	0.020734793612	0.0027402042063	5.23605899293e-05	0.00342089187538	0.000104721179859	0.000767955318963	0.000122174709835	0.00204206300724	0.0	0.0	0.017017191727	0.00286237891614	0.010367396806	6.98141199058e-05	6.98141199058e-05	0.0	0.0
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000141295324891	8.83095780568e-05	3.53238312227e-05	7.06476624455e-05	0.0018721630548	0.0	0.179339091118	0.000476871721507	1.76619156114e-05	0.00480404104629	0.00646426111376	0.000847771949346	0.000918419611791	0.015542485738	0.000476871721507	0.000105971493668	0.000176619156114	0.000883095780568	0.0231547713665	8.83095780568e-05	0.000724138540066	0.0	1.76619156114e-05	0.00755929988167	7.06476624455e-05	7.06476624455e-05	0.00785955244706	3.53238312227e-05	8.83095780568e-05	0.00250799201681	0.0166198625903	0.000706476624455	0.00012363340928	0.0209646938307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00173086772991	1.76619156114e-05	0.00153658665819	0.0	0.000529857468341	3.53238312227e-05	0.000353238312227	0.0055988272488	0.00231371094509	0.000300252565393	0.00012363340928	0.000600505130786	8.83095780568e-05	7.06476624455e-05	0.0141471944047	0.0446493226655	0.0270933785478	0.00245500626998	1.76619156114e-05	0.000794786202512	1.76619156114e-05	0.000406224059061	0.000335576396616	0.0	0.0	0.0	0.0107207827761	0.00501598403363	0.000335576396616	0.00012363340928	0.000176619156114	1.76619156114e-05	7.06476624455e-05
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000172909756826	4.71572064071e-05	6.28762752095e-05	6.28762752095e-05	0.0013204017794	1.57190688024e-05	0.105144851219	0.000565886476885	1.57190688024e-05	0.00179197384347	0.000204347894431	0.0	0.000613043683292	7.85953440118e-05	0.00033010044485	0.000188628825628	3.14381376047e-05	0.000518729270478	0.0264394737256	6.28762752095e-05	0.000785953440118	0.0	0.0	0.00602040335131	3.14381376047e-05	4.71572064071e-05	0.0195545215901	6.28762752095e-05	0.000723077164909	0.000754515302513	0.0234528506531	0.000188628825628	3.14381376047e-05	0.00697926654825	0.0	4.71572064071e-05	1.57190688024e-05	0.0	1.57190688024e-05	0.0	0.000157190688024	0.00138327805461	1.57190688024e-05	0.00150903060503	0.0	0.000172909756826	1.57190688024e-05	0.000455852995269	0.00358394768694	0.00339531886131	0.000125752550419	7.85953440118e-05	0.000110033481617	6.28762752095e-05	6.28762752095e-05	0.013204017794	0.0722605592845	0.0251505100838	0.00121036829778	1.57190688024e-05	0.000550167408083	3.14381376047e-05	0.000518729270478	0.000125752550419	0.000172909756826	6.28762752095e-05	0.0	0.0107832811984	0.00141471619221	0.0100602040335	4.71572064071e-05	9.43144128142e-05	4.71572064071e-05	3.14381376047e-05
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	9.76689673135e-05	0.000130225289751	0.00029300690194	0.000358119546816	0.00289751269697	0.00014650345097	0.00949016799062	0.000992967834353	0.0	0.000211616095846	0.000879020705821	0.00029300690194	0.0148294048704	0.0083506967053	0.000227894257065	9.76689673135e-05	9.76689673135e-05	6.51126448756e-05	0.0276077614273	0.000276728740721	0.000927855189478	6.51126448756e-05	0.00029300690194	0.00349980466207	1.62781612189e-05	3.25563224378e-05	0.0906205235057	3.25563224378e-05	0.0	1.62781612189e-05	0.00177431957286	0.0	0.0	1.62781612189e-05	0.0	0.0	0.00133480921995	0.0	0.0	0.0	1.62781612189e-05	0.00227894257065	1.62781612189e-05	0.000634848287537	0.00014650345097	0.000374397708035	0.000227894257065	0.000227894257065	0.0050787863003	0.00281612189087	0.000130225289751	0.000423232191692	9.76689673135e-05	0.000732517254851	4.88344836567e-05	0.0217801797109	0.0421116030733	0.0215197291314	0.00468811043105	3.25563224378e-05	0.00169292876677	6.51126448756e-05	0.00136736554239	0.000309285063159	0.000341841385597	0.000781351738508	0.000162781612189	0.00817163693189	0.00610431045709	0.0	6.51126448756e-05	0.000309285063159	0.00879020705821	1.62781612189e-05
8SM.DN	DN	Normal	Normal	12	DN_12S	0.000111349274838	0.000167023912257	0.000111349274838	0.000111349274838	0.00172591375999	0.000946468836122	0.00762742532639	0.00144754057289	0.000222698549676	0.000278373187095	0.000473234418061	5.56746374189e-05	0.0187623528102	0.0	0.000723770286446	8.35119561284e-05	5.56746374189e-05	2.78373187095e-05	0.00718202822704	8.35119561284e-05	0.0020599615845	2.78373187095e-05	2.78373187095e-05	0.0104111571973	0.000139186593547	5.56746374189e-05	0.00192077499095	0.000194861230966	0.000194861230966	0.000417559780642	0.097541964758	0.000111349274838	8.35119561284e-05	0.0	0.0	0.0	0.000473234418061	0.0	0.0	0.0	0.0	0.000779444923865	5.56746374189e-05	0.000334047824514	0.00150321521031	0.000389722461932	0.000111349274838	0.000417559780642	0.00804498510703	0.00242184672772	8.35119561284e-05	0.00050107173677	8.35119561284e-05	2.78373187095e-05	2.78373187095e-05	0.0124989561005	0.0276146201598	0.0150043147844	0.00183726303482	0.0	0.000807282242574	8.35119561284e-05	0.000389722461932	0.000723770286446	0.00993792277928	0.00203212426579	0.00361885143223	0.00192077499095	2.78373187095e-05	0.000111349274838	0.000194861230966	0.000222698549676	0.0226317401108	0.187957575926
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.000301431801055	2.51193167546e-05	2.51193167546e-05	0.000100477267018	0.000477267018337	0.0	0.0998492840995	0.000427028384828	0.0	0.00155739763878	0.00160763627229	0.000904295403165	0.000502386335092	0.021803566943	0.000301431801055	0.000125596583773	0.000251193167546	0.000577744285355	0.0264506405426	2.51193167546e-05	0.00060286360211	0.0	2.51193167546e-05	0.00540065310224	0.0	0.000100477267018	0.141899020347	0.0	5.02386335092e-05	0.000703340869128	0.00469731223311	2.51193167546e-05	0.0	0.00638030645566	0.0	2.51193167546e-05	0.000351670434564	0.0	0.0	0.0	0.0	0.00208490329063	0.000100477267018	0.0019341873901	0.0	0.000175835217282	5.02386335092e-05	0.000401909068073	0.00459683496609	0.0011052499372	0.00198442602361	0.0	0.00148203968852	0.000125596583773	0.0	0.0109017834715	0.0896759608139	0.039713639789	0.00135644310475	0.0	0.000477267018337	7.53579502638e-05	0.000301431801055	5.02386335092e-05	2.51193167546e-05	2.51193167546e-05	0.0	0.024868123587	0.00735995980909	0.000150715900528	0.0	0.000226073850791	0.0	0.0
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.000255249256448	4.43911750344e-05	9.98801438274e-05	7.76845563102e-05	0.00154259333245	0.0	0.0866404758734	0.00071025880055	0.0	0.00149820215741	0.000366227194034	0.0	0.00055488968793	3.32933812758e-05	0.000510498512896	0.000110977937586	2.21955875172e-05	0.000455009544103	0.0256248057886	9.98801438274e-05	0.000421716162827	0.0	2.21955875172e-05	0.00422825942203	2.21955875172e-05	8.87823500688e-05	0.0109091312647	0.00015536911262	0.0	0.00149820215741	0.0204865272784	0.00146490877614	0.000488302925378	0.016502419319	0.0	1.10977937586e-05	0.000122075731345	1.10977937586e-05	0.0	0.0	3.32933812758e-05	0.00115417055089	7.76845563102e-05	0.00106538820083	0.0	3.32933812758e-05	7.76845563102e-05	0.000166466906379	0.00826785635016	0.00376215208417	0.000654769831757	0.000133173525103	0.000799041150619	5.5488968793e-05	8.87823500688e-05	0.014804456874	0.132119234696	0.031673103387	0.00102099702579	5.5488968793e-05	0.000743552181826	4.43911750344e-05	0.000488302925378	5.5488968793e-05	0.000532694100413	1.10977937586e-05	0.0	0.0189550317397	0.00134283304479	0.0112087716962	5.5488968793e-05	7.76845563102e-05	0.000122075731345	3.32933812758e-05
