SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description	ACK-M1	Actinomycetaceae	Brevibacteriaceae	Nocardiaceae	Coriobacteriaceae	Bacteroidaceae	Porphyromonadaceae	Prevotellaceae	Rikenellaceae	S24-7	Odoribacteraceae	Paraprevotellaceae	Cryomorphaceae	Flavobacteriaceae	Chitinophagaceae	Caldilineaceae	Deferribacteraceae	Paenibacillaceae	Staphylococcaceae	Enterococcaceae	Lactobacillaceae	Streptococcaceae	Turicibacteraceae	Christensenellaceae	Clostridiaceae	Dehalobacteriaceae	Eubacteriaceae	Gracilibacteraceae	Lachnospiraceae	Peptococcaceae	Peptostreptococcaceae	Ruminococcaceae	Syntrophomonadaceae	Veillonellaceae	Acidaminobacteraceae	Mogibacteriaceae	Tissierellaceae	Erysipelotrichaceae	Beijerinckiaceae	Alcaligenaceae	Desulfovibrionaceae	Thermodesulfobacteriaceae	Helicobacteraceae	Alteromonadaceae	OM60	Enterobacteriaceae	Coxiellaceae	Legionellaceae	Pasteurellaceae	Piscirickettsiaceae	Sinobacteraceae	F16	Anaeroplasmataceae	Verrucomicrobiaceae
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000397538441967	0.00012721230143	0.000206719989823	7.95076883935e-05	0.00136753224037	0.0207992112837	0.0058994704788	0.0384817211824	0.075325583984	0.228298376453	0.0459077392784	0.00248063987788	0.00036573536661	0.0075373288597	0.00073147073322	7.95076883935e-05	0.00422980902253	0.0	0.0	6.36061507148e-05	0.00251244295323	0.0	0.0	0.00228982142573	0.00230572296341	0.00206719989823	0.0	0.000763273808577	0.102167379586	0.000524750743397	7.95076883935e-05	0.111994529871	4.77046130361e-05	0.0	0.0009699937984	0.00108130456215	0.00143113839108	0.00214670758662	0.000381636904289	6.36061507148e-05	0.010097476426	0.000159015376787	6.36061507148e-05	0.000159015376787	0.000318030753574	0.00106540302447	0.000747372270899	0.00073147073322	0.000174916914466	0.00106540302447	4.77046130361e-05	0.043602016315	0.0180323437276	0.0101610825767
2SM.DN	DN	Normal	Normal	12	DN_12S	0.000108501057885	0.000257690012478	0.000217002115771	0.000149188954592	0.00316009331091	0.00792057722563	0.00275321434384	0.0273015786904	0.0408099603971	0.20177127977	0.0201811967667	0.00143763901698	0.000298377909185	0.00528942657191	0.000339065805892	1.35626322357e-05	0.0278033960831	0.000122063690121	0.0	6.78131611783e-05	0.0234633537677	0.0	1.35626322357e-05	0.00165464113275	0.00031194054142	0.00204795746759	8.1375793414e-05	0.000569630553898	0.123447078609	0.000420441599306	0.00031194054142	0.0772120653176	0.000162751586828	0.0	0.00119351163674	0.000976509520968	0.00149188954592	0.00321434383985	0.000393316334834	0.000257690012478	0.0124776216568	8.1375793414e-05	9.49384256497e-05	0.000257690012478	0.000108501057885	0.00100363478544	0.000976509520968	0.000651006347312	0.000284815276949	0.00166820376499	6.78131611783e-05	0.0150409591494	0.0211712689199	0.102587750231
2i	Inicial	Normal	Normal	0	Inicial	0.000107152424324	0.00019644611126	0.000142869899098	3.57174747745e-05	0.00217876596125	0.0303598535584	0.00141084025359	0.0241271542102	0.0499151709974	0.219858915975	0.0275738905259	0.00235735333512	0.000142869899098	0.00680417894455	0.000696490758103	8.92936869363e-05	0.000642914545942	3.57174747745e-05	5.35762121618e-05	8.92936869363e-05	0.0260916153228	0.0	0.0	0.00162514510224	0.00119653540495	0.00237521207251	0.000160728636485	0.000517903384231	0.0861148316814	0.000160728636485	3.57174747745e-05	0.0728100723279	8.92936869363e-05	0.0	0.000750066970265	0.00103580676846	0.00133940530405	0.00773283328869	0.000267881060809	0.00298240914367	0.00232163586034	8.92936869363e-05	7.14349495491e-05	0.000107152424324	0.000107152424324	0.000696490758103	0.000160728636485	0.000553620859005	0.000125011161711	0.000875078131976	1.78587373873e-05	0.00621484061077	0.0128940083936	0.219430306277
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN	1.74535299764e-05	0.000139628239812	0.000122174709835	6.98141199058e-05	0.000872676498822	0.100724321494	0.00575966489222	0.000645780609128	0.0645955144428	0.112994153067	0.041504494284	0.00120429356837	0.000261802949647	0.00717340082032	0.000506152369317	0.000104721179859	0.0788899554935	0.000314163539576	0.0	0.00134392180819	0.060738284318	0.00837769438869	0.0	0.00191988829741	0.0268435291038	0.00113447944847	3.49070599529e-05	0.00123920062833	0.0444890479099	0.00193734182738	0.000663234139105	0.110149227681	5.23605899293e-05	0.000191988829741	0.00342089187538	0.00158827122786	0.00102975826861	0.00223405183698	0.000296710009599	0.0	0.0357448293917	0.000157081769788	6.98141199058e-05	6.98141199058e-05	5.23605899293e-05	0.000925037088751	6.98141199058e-05	0.000610873549175	6.98141199058e-05	0.000628327079152	0.0	0.0304215027489	0.0	0.0
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	3.53238312227e-05	0.000229604902948	3.53238312227e-05	7.06476624455e-05	0.00210176795775	0.180045567742	0.012133736025	0.000918419611791	0.0770059520656	0.121849555803	0.0240378671471	0.000812448118123	0.000423885974673	0.00886628163691	0.000441547890284	7.06476624455e-05	0.00785955244706	3.53238312227e-05	8.83095780568e-05	0.00250799201681	0.017449972624	0.0209646938307	0.0	0.00226072519826	1.76619156114e-05	0.00173086772991	1.76619156114e-05	0.00153658665819	0.0531800279058	0.000547519383952	8.83095780568e-05	0.110846182377	1.76619156114e-05	0.0	0.000794786202512	0.000759462371289	0.000883095780568	0.00038856214345	0.000211942987336	0.0	0.0188099401261	8.83095780568e-05	0.00012363340928	5.29857468341e-05	7.06476624455e-05	0.000759462371289	0.000211942987336	0.000441547890284	0.000176619156114	0.000724138540066	3.53238312227e-05	0.0788251293735	1.76619156114e-05	8.83095780568e-05
7DAG.SM	DAG	DAG	Normal	12	DAG_12S	1.57190688024e-05	0.000220066963233	6.28762752095e-05	6.28762752095e-05	0.00149331153622	0.105899366522	0.0020120408067	0.000613043683292	0.0552053696339	0.142399044281	0.0269582029961	0.00086454878413	0.000172909756826	0.006680604241	0.000471572064071	4.71572064071e-05	0.0195545215901	6.28762752095e-05	0.000723077164909	0.000754515302513	0.0236729176164	0.00697926654825	0.0	0.00308093748526	0.000298662307245	0.00138327805461	1.57190688024e-05	0.00150903060503	0.0582548689816	0.00122608736658	3.14381376047e-05	0.157882327051	1.57190688024e-05	0.0	0.000550167408083	0.00127324457299	0.000801672508921	0.00161906408664	0.000157190688024	0.0	0.0238772655108	7.85953440118e-05	4.71572064071e-05	4.71572064071e-05	6.28762752095e-05	0.000974582265747	0.000251505100838	0.000675919958502	9.43144128142e-05	0.000660200889699	0.0	0.0284986717387	4.71572064071e-05	3.14381376047e-05
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE	0.000227894257065	0.000227894257065	0.00029300690194	0.000358119546816	0.00319051959891	0.0107435864045	0.00138364370361	0.0154316968355	0.0498762859747	0.141799062378	0.0276728740721	0.00136736554239	0.000374397708035	0.00483461388202	0.00014650345097	3.25563224378e-05	0.0906205235057	3.25563224378e-05	0.0	1.62781612189e-05	0.00177431957286	1.62781612189e-05	0.0	0.00201849199114	0.00141620002605	0.00227894257065	1.62781612189e-05	0.000634848287537	0.167779007683	0.000179059773408	0.00014650345097	0.118163172288	3.25563224378e-05	0.0	0.00169292876677	0.00166037244433	0.00167665060555	0.00139992186483	0.000406954030473	0.000162781612189	0.0184268784998	8.13908060945e-05	6.51126448756e-05	0.000260450579503	0.000374397708035	0.00153014715458	0.000960411511916	0.00104180231801	0.000309285063159	0.00167665060555	4.88344836567e-05	0.0351933845553	0.00879020705821	3.25563224378e-05
8SM.DN	DN	Normal	Normal	12	DN_12S	0.0	0.000278373187095	0.000111349274838	0.000111349274838	0.00208779890321	0.0100214347354	0.00102998079225	0.0187623528102	0.0566489435738	0.290148372909	0.00720986554575	0.00217131085934	2.78373187095e-05	0.0110235782089	0.00133619129805	5.56746374189e-05	0.00192077499095	0.000194861230966	0.000194861230966	0.000417559780642	0.0977368259889	0.0	0.0	0.00130835397934	0.000751607605155	0.000779444923865	5.56746374189e-05	0.000334047824514	0.0681735935195	0.000306210505804	0.000111349274838	0.066113631935	0.0	0.0	0.000807282242574	0.00102998079225	0.00111349274838	0.0175653481057	0.000250535868385	0.00361885143223	0.00247752136514	5.56746374189e-05	0.000194861230966	0.000111349274838	0.000361885143223	0.000946468836122	0.000194861230966	0.000167023912257	0.000222698549676	0.000584583692899	2.78373187095e-05	0.00197644962837	0.0226317401108	0.197533613562
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE	0.0	0.00032655111781	2.51193167546e-05	0.000100477267018	0.000527505651846	0.100351670435	0.00406932931424	0.000502386335092	0.0542326048731	0.112660135644	0.0270283848279	0.000653102235619	0.000150715900528	0.00590303943733	0.000502386335092	0.000100477267018	0.141899020347	0.0	5.02386335092e-05	0.000703340869128	0.00472243154986	0.00638030645566	0.0	0.0035418236624	0.000527505651846	0.00208490329063	0.000100477267018	0.0019341873901	0.0525496106506	0.00133132378799	0.0	0.187967847275	0.0	0.0	0.000477267018337	0.000577744285355	0.000427028384828	0.000477267018337	0.000226073850791	0.0	0.0393117307209	0.000150715900528	0.0	5.02386335092e-05	2.51193167546e-05	0.000828937452901	0.00032655111781	0.000351670434564	0.000226073850791	0.00060286360211	0.0	0.0382316001005	0.0	0.0
13DAG.SM	DAG	DAG	Normal	12	DAG_12S	0.0	0.000299640431482	9.98801438274e-05	7.76845563102e-05	0.00166466906379	0.0875172015803	0.00186442935144	0.00055488968793	0.0496848226573	0.126170817242	0.0260798153327	0.000577085275447	0.000144271318862	0.00506059395392	0.000510498512896	8.87823500688e-05	0.0109091312647	0.00015536911262	0.0	0.00149820215741	0.0224397389799	0.016502419319	0.0	0.00397301016558	0.000366227194034	0.00115417055089	7.76845563102e-05	0.00106538820083	0.0682736272029	0.00315177342744	0.0	0.224574954499	5.5488968793e-05	0.0	0.000743552181826	0.00119856172593	0.00071025880055	0.000843432325654	0.000244151462689	0.0	0.0347915834332	0.000122075731345	5.5488968793e-05	7.76845563102e-05	7.76845563102e-05	0.000932214675722	0.000177564700138	0.0010986815821	7.76845563102e-05	0.00100989923203	0.0	0.0275558219026	0.000122075731345	4.43911750344e-05
