SampleID	Grupo_Experimental	Dieta	Ambiente	Tiempo	Description
8SM.DN	DN	Normal	Normal	12	DN_12S
8DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
7DAG.SM	DAG	DAG	Normal	12	DAG_12S
7DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
59i	Inicial	Normal	Normal	0	Inicial
59DAG.SM	DAG	DAG	Normal	12	DAG_12S
59DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
54DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
51SM.DN	DN	Normal	Normal	12	DN_12S
51DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN
50SM.DN	DN	Normal	Normal	12	DN_12S
50i	Inicial	Normal	Normal	0	Inicial
50DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN
49DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
48SM.DN	DN	Normal	Normal	12	DN_12S
48DN.AN	DN_AN	Normal	Normal	24	DN_24S_AN
46DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
45DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
3DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
39DAG.SM	DAG	DAG	Normal	12	DAG_12S
39DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
38DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
34DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
33SM.DN	DN	Normal	Normal	12	DN_12S
33i	Inicial	Normal	Normal	0	Inicial
33DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
31i	Inicial	Normal	Normal	0	Inicial
2SM.DN	DN	Normal	Normal	12	DN_12S
2i	Inicial	Normal	Normal	0	Inicial
2DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
27DAG.SM	DAG	DAG	Normal	12	DAG_12S
27DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
26DAG.SM	DAG	DAG	Normal	12	DAG_12S
26DAG.AN	DAG_AN	DAG	Normal	24	DAG_24S_AN
21DN.AE	DN_AE	Normal	Enriquecido	24	DN_24S_AE
20DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
13i	Inicial	Normal	Normal	0	Inicial
13DAG.SM	DAG	DAG	Normal	12	DAG_12S
10DAG.AE	DAG_AE	DAG	Enriquecido	24	DAG_24S_AE
