# Constructed from biom file
#OTU ID	Inicial	DN	DAG	DN_AN	DN_AE	DAG_AN	DAG_AE
k__Bacteria;p__	0.0006005474114192568	0.0010092150135973096	0.0007407981845342563	0.0010350119561725972	0.0007632234471858389	0.0008257931610119074	0.0008583108678083283
k__Bacteria;p__Acidobacteria	0.000379147444075752	0.00047751448629939817	0.0004959062227047501	0.0006424212141760947	0.000600963344240818	0.0003640593505536366	0.0005427120263805237
k__Bacteria;p__Actinobacteria	0.0034842819860684063	0.003400174072656707	0.0019326057321045198	0.002291302330561405	0.002557099029744681	0.0026342505853068016	0.0017284198231466677
k__Bacteria;p__Bacteroidetes	0.3398932298657486	0.39257109377910415	0.40043305061916845	0.42597523109318675	0.40568931997992763	0.3752001586470015	0.42849474100248364
k__Bacteria;p__Chlorobi	5.2582492244082395e-05	0.00018287788836998228	3.673379427442593e-05	7.851814839930048e-05	0.00015925528622381678	0.0001154334526145677	0.00013567800659513093
k__Bacteria;p__Chloroflexi	0.00021032996897632958	0.0003691424043023717	0.0002755034570581945	0.00033548663406973836	0.00032452020589004174	0.0003048627081871916	0.0002743055350727647
k__Bacteria;p__Cyanobacteria	0.0022970246611888623	0.009614635649673698	0.0013081312294392791	0.008058817231164566	0.008810122626570391	0.00159238967965737	0.0016812274730266224
k__Bacteria;p__Deferribacteres	0.004599584321561312	0.007968734654343858	0.028374815310645455	0.025132945501266993	0.021051745948755855	0.02144990336148134	0.0340935234398504
k__Bacteria;p__Firmicutes	0.4213130678563221	0.4696608969821764	0.506652898296368	0.43127877511688434	0.4534418673133028	0.5291972639311899	0.4689798783617189
k__Bacteria;p__Gemmatimonadetes	0.00017988747346659768	0.0002946365979294159	0.00047753932556753715	0.0003997287554873479	0.0001592552862238168	0.00044397481774833734	0.000306750275780296
k__Bacteria;p__Proteobacteria	0.018799624727055354	0.019019300390478156	0.0357644302588508	0.01945822477604483	0.016355217413513864	0.023808889559784163	0.027902477008476943
k__Bacteria;p__TM6	0.00021032996897632958	0.00016933137812035398	0.0003632564100471009	7.851814839930048e-05	0.00016226010294502087	0.0002486258979390689	0.00043652923861042125
k__Bacteria;p__TM7	0.01425815789692171	0.013373792243945557	0.022672914132715116	0.018815803561868735	0.03163170562411546	0.04276069461340153	0.033919501648782734
k__Bacteria;p__Tenericutes	0.016029357635669747	0.01282515857883561	0.0003612156436985217	0.013376637281844465	0.01764728860363162	0.0009767445990463421	0.0005781062889705579
k__Bacteria;p__Verrucomicrobia	0.17759598380459238	0.06888061799179761	4.489685966874281e-05	0.05290695599414684	0.04057704500314004	2.959832118322249e-06	2.359617506002277e-05
k__Bacteria;p__[Caldithrix]	9.686248571278336e-05	0.00018287788836998228	6.530452315453499e-05	0.00013562225632606447	6.911078458769407e-05	7.399580295805622e-05	4.424282823754269e-05
