# Constructed from biom file
#OTU ID	Inicial	DN	DAG	DN_AN	DN_AE	DAG_AN	DAG_AE
k__Bacteria;p__;c__;o__;f__;g__;s__	0.0006005474114192568	0.0010092150135973096	0.0007407981845342563	0.0010350119561725972	0.0007632234471858389	0.0008257931610119074	0.0008583108678083283
k__Bacteria;p__Acidobacteria;c__BPC102;o__MVS-40;f__;g__;s__	0.00019649247101736052	0.0002878633428046017	0.00041631633511016056	0.0005282129983225668	0.0004477176914594094	0.00031966186877880286	0.00046897397931795255
k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__;g__;s__	0.00010516498448816479	9.143894418499114e-05	2.652996253152984e-05	5.710410792676398e-05	8.413486819371453e-05	3.255815330154474e-05	3.5394262590034156e-05
k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__;g__;s__	7.748998857022669e-05	9.82121993098053e-05	5.305992506305968e-05	5.710410792676398e-05	6.911078458769407e-05	1.1839328473288996e-05	3.8343784472537e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__ACK-M1;g__;s__	0.0001356074799978967	9.143894418499114e-05	1.8366897137212965e-05	0.00015703629679860096	0.00019531308687826586	2.9598321183222488e-05	1.4747609412514231e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinobaculum;s__	0.00012730498122251528	0.00016255812299553982	0.00021836199929797638	0.00011420821585352797	9.01445016361227e-05	0.00016871043074436818	0.00017697131295017077
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Varibaculum;s__	7.195498938663906e-05	8.466568906017699e-05	5.305992506305968e-05	4.9966094435918486e-05	8.713968491491861e-05	6.215647448476722e-05	5.8990437650056924e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Brevibacteriaceae;g__Brevibacterium;s__	0.00014390997877327812	0.0002438371844933097	9.387525203464406e-05	0.00028552053963381993	0.00016526491966622496	6.511630660308948e-05	6.193995953255978e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Nocardiaceae;g__Nocardia;s__	8.025748816202049e-05	0.00011853196468424777	8.367142029174796e-05	0.00012134622934437346	0.00014122638589659223	6.511630660308948e-05	7.6687568945074e-05
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__;s__	0.00016604997550762862	0.0002506104396181239	0.0001326498126576492	0.00010707020236268247	0.00015024083606020452	0.00018350959133597942	0.00012387991906511955
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Adlercreutzia;s__	0.0027591970930184286	0.002448531727620318	0.0013326204256222296	0.0014561547521324816	0.0017277696146923518	0.002060043154352285	0.0012152030155911727
k__Bacteria;p__Bacteroidetes;c__;o__;f__;g__;s__	0.0	1.0159882687221239e-05	9.795678473180248e-05	7.138013490845498e-06	4.807706753926544e-05	6.511630660308948e-05	0.00010913230965260531
k__Bacteria;p__Bacteroidetes;c__BME43;o__;f__;g__;s__	0.0001383749795896905	9.143894418499114e-05	0.00010816061647469858	6.424212141760947e-05	6.911078458769407e-05	3.847781753818924e-05	2.9495218825028462e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	0.009282193630876439	0.018006698749318442	0.07909398137188478	0.013490845497697992	0.03155358038936415	0.05078775931829146	0.05535072764704841
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__	0.00010239748489637097	0.00015578486787072565	0.00019183203676644654	0.0003212106070880474	0.00019831790359946998	0.0001450317737977902	0.00022711318495271916
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__5-7N15;s__	0.0003736124448921644	0.000514767389485876	2.0407663485792184e-06	0.00046397087690495736	0.00019230827015706176	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	0.010369820970451407	0.01121312385912984	0.10484437115825734	0.006202933723544738	0.03318820068569918	0.06846683656103024	0.12692382564786248
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__acidifaciens	0.0012702823126333588	0.0005858865682964248	0.0006387598671052954	0.0006995253221028588	0.0007061319294829612	0.0005682877667178718	0.0004070340197853928
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Candidatus Azobacteroides;s__	0.00016604997550762862	0.0001794912608075752	2.0407663485792184e-06	2.1414040472536494e-05	3.3052983933244994e-05	8.879496354966747e-06	2.9495218825028465e-06
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Paludibacter;s__	0.00016051497632404098	0.00023367730180608848	0.0021897422920255016	0.00012134622934437345	0.0008593775822643697	0.0017315017892185155	0.0029967142326228916
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__	0.0007029448963156278	0.0012801452185898761	0.003530525783042048	0.002305578357543096	0.0017848611323952295	0.0020659628185889295	0.0027489543944926526
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides;s__distasonis	0.00162728975997476	0.004074112957575716	0.000953037884786495	0.0009850458617366787	0.004197728959522114	0.0015243135409359581	0.001457063809956406
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__	0.0008357848767217307	0.001236119060278584	0.0	0.0024697526678325423	0.001265027839626922	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__	0.028272775829765562	0.027976930293044884	0.0006571267642425083	0.060337628038116986	0.028834221256674453	0.0005594082703629051	0.0007403299925082144
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__;s__	0.0377376244337004	0.042238018958341096	0.04722945560516886	0.07366429922552556	0.06619010273468369	0.04788416401021734	0.05052236032539126
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__AF12;s__	8.025748816202049e-05	0.0006062063336708672	0.003140739410463417	0.0028195153288839716	0.003891237653959297	0.01676448911817722	0.01916009414873849
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Blvii28;s__	0.0005202899232572363	0.0007416714361671504	0.000551006914116389	0.0005710410792676399	0.00047476104195024626	0.0005416492776529715	0.0005456615482630266
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__PW3;s__	9.409498612098955e-05	5.757266856092035e-05	0.00020815816755508028	9.279417538099147e-05	0.00010817340196334725	0.00017167026286269042	0.00018581987859767933
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__	3.0442495509731914e-05	4.741278587369911e-05	5.918222410879733e-05	6.424212141760947e-05	5.1081884260469535e-05	0.00019238908769094617	0.00022121414118771347
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__S24-7;g__;s__	0.22901059122093764	0.24978748912045887	0.11733386121156213	0.20556765052285944	0.1855173843671405	0.12573662821844742	0.11850883971708195
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Butyricimonas;s__	5.8117491427670014e-05	4.741278587369911e-05	0.0005203954188877007	2.1414040472536494e-05	0.00017427936982983722	0.0003995773359735036	0.0005987529421480778
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter;s__	0.012019250727160518	0.022524459917569482	0.030815571863546196	0.04222134979835112	0.035841453850522384	0.04869515801063763	0.03850895769795716
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__;s__	1.937249714255667e-05	3.386627562407079e-05	5.101915871448046e-05	0.00017845033727113745	9.31493183573268e-05	6.807613872141172e-05	1.4747609412514231e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__CF231;s__	0.00012453748163072145	0.00011514533712184071	0.00011428291552043624	0.00032834862057889286	0.00021033717048428633	0.0001450317737977902	8.258661271007969e-05
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__Paraprevotella;s__	0.0011263723338600807	0.0013377178871507964	0.0006142706709223448	0.001734537278275456	0.0013882253251962897	0.0008228333288935851	0.0006547938579156318
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Paraprevotellaceae];g__[Prevotella];s__	7.748998857022669e-05	0.00016933137812035398	2.0407663485792184e-06	0.0002997965666155109	0.00015925528622381678	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__;g__;s__	0.00031272745387270055	0.00045042146580014157	0.00031835955037835806	0.0005496270387951033	0.0002794479550719804	0.0003906978396185368	0.00035394262590034153
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__;s__	2.490749632614429e-05	6.095929612332743e-05	0.00018366897137212965	0.00010707020236268247	8.113005147251044e-05	0.00021310791251920192	0.000230062706835222
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Cryomorphaceae;g__Fluviicola;s__	7.195498938663906e-05	0.00014562498518350442	1.224459809147531e-05	0.0003212106070880474	0.0003876213570353276	2.0718824828255743e-05	3.5394262590034156e-05
