	7DAG.SM	7DAG.AE	59DAG.SM	59DAG.AN	54DAG.AN	49DAG.AN	46DAG.AN	3DAG.AN	39DAG.SM	39DAG.AE	34DAG.AE	27DAG.SM	27DAG.AE	26DAG.SM	26DAG.AN	20DAG.AE	13DAG.SM	10DAG.AE
7DAG.SM	0	0.152429163	0.191590817	0.258535858	0.099278231	0.256397681	0.273163833	0.154540345	0.180849452	0.177336161	0.179296356	0.153745638	0.222361882	0.110541131	0.204665342	0.140219712	0.115611464	0.218995037
7DAG.AE	0.152429163	0	0.209647108	0.30472654	0.158695278	0.263523483	0.288035907	0.213731295	0.235557767	0.227430292	0.228589296	0.224071713	0.179537951	0.180502099	0.196885084	0.18399605	0.208670554	0.268310012
59DAG.SM	0.191590817	0.209647108	0	0.227749243	0.212694408	0.213569883	0.192752528	0.181922661	0.284122976	0.253186953	0.184989132	0.246653918	0.227938967	0.190914582	0.162995042	0.230997747	0.23118035	0.307728795
59DAG.AN	0.258535858	0.30472654	0.227749243	0	0.252471318	0.253844264	0.151328745	0.26849155	0.273916087	0.23517407	0.160320701	0.341087872	0.341748589	0.324125321	0.233251262	0.325482848	0.261319987	0.331777444
54DAG.AN	0.099278231	0.158695278	0.212694408	0.252471318	0	0.2487055	0.261184664	0.130133147	0.130853376	0.175289594	0.160284491	0.152886158	0.213626778	0.127452802	0.182475418	0.117108737	0.148247739	0.190575384
49DAG.AN	0.256397681	0.263523483	0.213569883	0.253844264	0.2487055	0	0.131016403	0.213939472	0.261542909	0.263796229	0.231449231	0.301994583	0.307146128	0.277477714	0.13992374	0.288088814	0.237915714	0.293006577
46DAG.AN	0.273163833	0.288035907	0.192752528	0.151328745	0.261184664	0.131016403	0	0.255092172	0.278321188	0.29288617	0.184250264	0.329397152	0.320855227	0.314451665	0.189820969	0.317465621	0.263157899	0.314614582
3DAG.AN	0.154540345	0.213731295	0.181922661	0.26849155	0.130133147	0.213939472	0.255092172	0	0.190851852	0.235107971	0.178279034	0.160814838	0.266216308	0.165346184	0.163383793	0.157890636	0.188476698	0.161317484
39DAG.SM	0.180849452	0.235557767	0.284122976	0.273916087	0.130853376	0.261542909	0.278321188	0.190851852	0	0.251526569	0.208667577	0.189869395	0.298222338	0.188246394	0.20627799	0.158093473	0.121913585	0.166406899
39DAG.AE	0.177336161	0.227430292	0.253186953	0.23517407	0.175289594	0.263796229	0.29288617	0.235107971	0.251526569	0	0.223707592	0.272602139	0.236053309	0.237673217	0.230070752	0.236801495	0.235294034	0.316145323
34DAG.AE	0.179296356	0.228589296	0.184989132	0.160320701	0.160284491	0.231449231	0.184250264	0.178279034	0.208667577	0.223707592	0	0.210522676	0.275518422	0.226309857	0.201700303	0.207853436	0.217394795	0.255482875
27DAG.SM	0.153745638	0.224071713	0.246653918	0.341087872	0.152886158	0.301994583	0.329397152	0.160814838	0.189869395	0.272602139	0.210522676	0	0.294635199	0.124973671	0.248869163	0.117521434	0.165057776	0.206259095
27DAG.AE	0.222361882	0.179537951	0.227938967	0.341748589	0.213626778	0.307146128	0.320855227	0.266216308	0.298222338	0.236053309	0.275518422	0.294635199	0	0.236471307	0.271567558	0.242709183	0.27707265	0.359752223
26DAG.SM	0.110541131	0.180502099	0.190914582	0.324125321	0.127452802	0.277477714	0.314451665	0.165346184	0.188246394	0.237673217	0.226309857	0.124973671	0.236471307	0	0.213865805	0.098011285	0.127860137	0.224682941
26DAG.AN	0.204665342	0.196885084	0.162995042	0.233251262	0.182475418	0.13992374	0.189820969	0.163383793	0.20627799	0.230070752	0.201700303	0.248869163	0.271567558	0.213865805	0	0.229875961	0.192782835	0.245839505
20DAG.AE	0.140219712	0.18399605	0.230997747	0.325482848	0.117108737	0.288088814	0.317465621	0.157890636	0.158093473	0.236801495	0.207853436	0.117521434	0.242709183	0.098011285	0.229875961	0	0.160696045	0.19387533
13DAG.SM	0.115611464	0.208670554	0.23118035	0.261319987	0.148247739	0.237915714	0.263157899	0.188476698	0.121913585	0.235294034	0.217394795	0.165057776	0.27707265	0.127860137	0.192782835	0.160696045	0	0.181588704
10DAG.AE	0.218995037	0.268310012	0.307728795	0.331777444	0.190575384	0.293006577	0.314614582	0.161317484	0.166406899	0.316145323	0.255482875	0.206259095	0.359752223	0.224682941	0.245839505	0.19387533	0.181588704	0
