sample	group	pc1_0.481176791339	pc2_0.0749116292045	pc3_0.0550764354284	pc4_0.0480926799438	pc5_0.0374722255351	pc6_0.0303870576715	pc7_0.02736340159	pc8_0.0261323289018	pc9_0.0240798427292	pc10_0.0216154641977	pc11_0.0200033329899	pc12_0.0176371692304	pc13_0.016411577629	pc14_0.0147310772329	pc15_0.0136680423534	pc16_0.0119361972234	pc17_0.0100952842266	pc18_0.00929745580647	pc19_0.00796121175749	pc2_0.00723796656549	pc21_0.00712727152891	pc22_0.00637359532473	pc23_0.00617898532916	pc24_0.00481519205564	pc25_0.00424136414713	pc26_0.00357959594948	pc27_0.0034388644791	pc28_0.00306876760635	pc29_0.00263857776504	pc30_0.00145527163809	pc31_0.00131092676217	pc32_0.000453951046833	pc33_0.000030464811413	pc34_0	pc35_0	pc36_0	pc37_0	pc38_0	pc39_0
2i	Inicial	0.116767846	0.030090809	-0.027913115	0.124621452	-0.031599242	-0.018659861	-0.017193718	0.000839221	-0.024310118	0.028508499	0.007784709	0.004921574	0.036627567	-0.050224414	0.002336032	-0.01413691	-0.00915465	-0.041121768	0.016434136	0.007873432	-0.019000966	0.021808496	-0.007020629	0.001474812	-0.015077475	0.004569246	0.024698406	-0.005408737	-0.008175956	-0.007311801	-0.014183653	0.000789907	0.000666793	0	0	0	0	0	0
2SM.DN	DN	0.14700414	-0.019580762	-0.002876274	-0.003668375	0.011569182	-0.02122365	-0.009719254	0.027999434	-0.013842562	-0.002768974	0.007470978	0.016520789	-0.022522236	0.010108452	0.009718985	0.03858842	0.032100703	-0.018041141	0.011038499	-0.009659849	0.030363311	-0.036923687	0.013927592	-0.044653621	0.011100994	0.009053453	0.023044848	0.009789934	-0.007948326	0.003449837	-0.002937648	-0.00028293	0.000194714	0	0	0	0	0	0
31i	Inicial	0.142279758	-0.009758755	0.011603027	0.041787421	0.027097207	0.015804454	-0.017108079	-0.002227091	0.018645675	-0.018219202	0.000858134	0.035033183	0.020540838	-0.024655841	0.011203496	-0.003307017	-0.033706997	0.029378088	-0.013179476	-0.014226183	0.022790209	-0.002247461	-0.010388502	-0.008146748	0.012432696	-0.001392204	-0.003694917	0.027277511	0.007723883	0.00837308	-0.009049969	-0.003905792	-0.002710668	0	0	0	0	0	0
33DN.AE	DN_AE	0.158730315	-0.00981686	0.049413826	-0.037373879	-0.031303561	0.018956838	0.02559247	-0.02614243	0.030080643	0.023179778	0.001354321	0.011072925	0.001600407	-0.008990127	0.014414552	-0.018184454	-0.008500604	0.000357167	0.030626152	-0.049502362	-0.023571871	-0.025436867	-0.006772196	0.025836242	-0.008324918	0.008788809	0.007805545	-0.003031448	-0.01549541	0.015081078	0.012467377	0.007092468	-0.001447665	0	0	0	0	0	0
33i	Inicial	0.146010504	0.002317765	0.005587399	0.002170476	0.037494551	-0.032213022	0.001263809	0.030464673	0.024384264	0.040061747	-0.014540278	0.050695464	-0.001253167	0.002887408	0.022269527	0.008651939	0.02469379	0.042055734	-0.00052969	-0.025192751	0.026175811	0.051562663	-0.027378014	-0.003769648	-0.000318985	0.005759792	0.003504168	-0.018883346	0.001865663	-0.003168374	0.008553858	-0.003458045	0.001479549	0	0	0	0	0	0
33SM.DN	DN	0.15278867	0.001846735	0.029417435	-0.008613489	0.05181091	0.020284049	0.017245424	0.024121138	-0.010145442	-0.013230787	-0.000604931	0.032413919	-0.019134597	0.000924177	-0.011024063	-0.02128609	0.030025359	-0.016020742	0.02941174	0.043621377	-0.038518391	0.025669776	-0.014278617	-0.014004631	0.011673768	-0.004457976	0.00419484	0.01162327	0.004864965	0.012725181	0.011968859	-4.25E-05	-1.23E-03	0	0	0	0	0	0
34DAG.AE	DAG_AE	-0.17410087	-0.033286583	0.003267771	0.057795761	-0.070486592	0.03534521	0.011624289	-0.099654761	-0.049379905	0.043909627	-0.027781613	0.054979827	-0.031358879	0.037035741	-0.03215555	0.019008857	-0.020560277	0.029958039	-0.002946552	0.00498334	-0.014874359	-0.009235044	-0.016147841	-0.00847074	0.01041571	-0.01008858	0.008221159	-0.002221608	0.000866594	0.000894012	0.000677014	-1.20E-04	0.001434513	0	0	0	0	0	0
38DN.AE	DN_AE	0.11733609	0.019785455	0.049211649	-0.022971868	-0.030166863	-0.008549002	0.021694161	-0.011078285	0.01495211	-0.017290521	0.017134529	-0.049902235	-0.004069473	0.018340572	-0.002526487	-0.001234569	-0.012670132	-0.010776183	-0.010624316	-0.004620191	-0.00536081	0.025603455	-0.004964093	-0.004773454	0.008005314	-0.010598995	0.020245229	-0.006838048	0.001172675	0.016306383	-0.016069033	0.002337587	0.000811832	0	0	0	0	0	0
39DAG.AE	DAG_AE	-0.170472206	-0.071247837	-0.00690496	0.005453673	-0.027548677	0.025317129	-0.066782963	0.013710203	-0.014669237	-0.033694495	-0.070476216	0.0154736	0.03407304	-0.018627514	-0.032450094	0.024888523	0.05616618	-0.004386714	-0.000680914	-0.016882358	-0.009921596	0.010293499	0.001403332	0.010507982	0.010393428	0.006450723	-0.008908534	0.00952303	-0.019982173	-0.002751034	-0.007387795	0.00379016	-0.000671835	0	0	0	0	0	0
39DAG.SM	DAG	-0.168012828	-0.057862868	0.020679313	-0.068111862	-0.029661462	0.067920368	0.018929555	0.063035988	-0.007592711	-0.024137252	-0.00790496	0.014546537	-0.040939537	-0.011488917	0.001454393	-0.003202976	-0.036227274	-0.015910663	0.004142356	0.00076389	-0.006096988	0.02872643	0.022767379	-0.00507363	0.017937967	0.001243676	-0.015137265	-0.022044646	-0.009206214	0.003038765	-0.00599983	-0.004021952	-0.000192739	0	0	0	0	0	0
