	20DAG.AE	26DAG.AN	34DAG.AE	39DAG.AE	49DAG.AN	7DAG.AE	46DAG.AN	27DAG.AE	3DAG.AN	54DAG.AN	59DAG.AN	10DAG.AE
20DAG.AE	0.0	0.249230439407	0.267587020486	0.264441563068	0.326073089528	0.252482248604	0.323833166958	0.221960956381	0.264298063303	0.248210603003	0.292579780346	0.217907988692
26DAG.AN	0.249230439407	0.0	0.236327384178	0.254103799096	0.20379070185	0.246002170792	0.202566753425	0.217533863443	0.154164103089	0.186701929729	0.20983224571	0.251821009109
34DAG.AE	0.267587020486	0.236327384178	0.0	0.256227054119	0.273141927847	0.229659178195	0.25971580585	0.21963032258	0.232648821986	0.262506298831	0.25523178335	0.232310906508
39DAG.AE	0.264441563068	0.254103799096	0.256227054119	0.0	0.238886636016	0.233154484287	0.257078662653	0.221692586296	0.229551601011	0.262440453636	0.28815194172	0.246852479971
49DAG.AN	0.326073089528	0.20379070185	0.273141927847	0.238886636016	0.0	0.257467847748	0.177331976372	0.261171421182	0.189649547381	0.234793555861	0.223689206418	0.301248418847
7DAG.AE	0.252482248604	0.246002170792	0.229659178195	0.233154484287	0.257467847748	0.0	0.279025767132	0.198552277934	0.24029703737	0.215060932143	0.280541787592	0.240863757642
46DAG.AN	0.323833166958	0.202566753425	0.25971580585	0.257078662653	0.177331976372	0.279025767132	0.0	0.254410918081	0.172104104429	0.261756768229	0.229985459779	0.277812210262
27DAG.AE	0.221960956381	0.217533863443	0.21963032258	0.221692586296	0.261171421182	0.198552277934	0.254410918081	0.0	0.216644499102	0.252463274285	0.257007399978	0.258273442523
3DAG.AN	0.264298063303	0.154164103089	0.232648821986	0.229551601011	0.189649547381	0.24029703737	0.172104104429	0.216644499102	0.0	0.198137168216	0.179619112019	0.246306439455
54DAG.AN	0.248210603003	0.186701929729	0.262506298831	0.262440453636	0.234793555861	0.215060932143	0.261756768229	0.252463274285	0.198137168216	0.0	0.200653717189	0.253545458837
59DAG.AN	0.292579780346	0.20983224571	0.25523178335	0.28815194172	0.223689206418	0.280541787592	0.229985459779	0.257007399978	0.179619112019	0.200653717189	0.0	0.28803314746
10DAG.AE	0.217907988692	0.251821009109	0.232310906508	0.246852479971	0.301248418847	0.240863757642	0.277812210262	0.258273442523	0.246306439455	0.253545458837	0.28803314746	0.0
