	20DAG.AE	26DAG.AN	34DAG.AE	39DAG.AE	49DAG.AN	7DAG.AE	46DAG.AN	27DAG.AE	3DAG.AN	54DAG.AN	59DAG.AN	10DAG.AE
20DAG.AE	0.0	0.231658554355	0.213338178067	0.239114539933	0.288933725475	0.18327601044	0.320749200773	0.240821673338	0.162068650034	0.120608300013	0.331879485831	0.198220053416
26DAG.AN	0.231658554355	0.0	0.203012244175	0.231094593644	0.140274077603	0.195879717554	0.193206783276	0.272654240486	0.162490496434	0.18085192913	0.238902293474	0.248782284329
34DAG.AE	0.213338178067	0.203012244175	0.0	0.224272811999	0.230527345842	0.227893247227	0.183544662625	0.275254373265	0.174588655355	0.161224113998	0.160892090912	0.259609678436
39DAG.AE	0.239114539933	0.231094593644	0.224272811999	0.0	0.261582255381	0.2265083063	0.293650242628	0.233546788867	0.238312244364	0.17692456246	0.240538062684	0.318962339001
49DAG.AN	0.288933725475	0.140274077603	0.230527345842	0.261582255381	0.0	0.261903139126	0.131446128236	0.306103611516	0.212663896894	0.246409587147	0.25628309293	0.295559581808
7DAG.AE	0.18327601044	0.195879717554	0.227893247227	0.2265083063	0.261903139126	0.0	0.288233305713	0.183189828247	0.219138269666	0.159269756557	0.306025071043	0.271291010767
46DAG.AN	0.320749200773	0.193206783276	0.183544662625	0.293650242628	0.131446128236	0.288233305713	0.0	0.32205371334	0.254732543618	0.259482620308	0.152562617323	0.3172422423
27DAG.AE	0.240821673338	0.272654240486	0.275254373265	0.233546788867	0.306103611516	0.183189828247	0.32205371334	0.0	0.271401972725	0.211621867928	0.34283728487	0.364764360975
3DAG.AN	0.162068650034	0.162490496434	0.174588655355	0.238312244364	0.212663896894	0.219138269666	0.254732543618	0.271401972725	0.0	0.126971374952	0.270354608279	0.161321228548
54DAG.AN	0.120608300013	0.18085192913	0.161224113998	0.17692456246	0.246409587147	0.159269756557	0.259482620308	0.211621867928	0.126971374952	0.0	0.257360875781	0.194184953663
59DAG.AN	0.331879485831	0.238902293474	0.160892090912	0.240538062684	0.25628309293	0.306025071043	0.152562617323	0.34283728487	0.270354608279	0.257360875781	0.0	0.336507014361
10DAG.AE	0.198220053416	0.248782284329	0.259609678436	0.318962339001	0.295559581808	0.271291010767	0.3172422423	0.364764360975	0.161321228548	0.194184953663	0.336507014361	0.0
